,PB1,PB2,PA,HA,NP,NA,M1,NS1
D1,0.26318567248598834,0.20973270502270722,0.07431480250755339,0.2928136466232665,-0.31150031191201866,-0.10172260492973498,-0.08992705943426535,-0.33689685036349604
D2,0.0016372333959129145,-0.13798603013411864,0.10505839231958211,-0.005852153045094356,-0.38669996033201437,0.18798007750978699,0.002192420897072436,0.233670019388873
D3,0.05136914406102018,0.05748524184585468,-0.4047225530966115,0.05894655812043605,-0.019059735627758225,0.2680254406854886,0.01826084222147962,-0.03030493820990967
D4,-0.08122423857385783,-0.13483695880772448,0.1445903965223181,-0.05013588593019744,0.023771146045001405,0.23142859735633356,0.16006492055972743,-0.2936579771716007
D5,0.014857399761793962,-0.039429997483059254,0.08313800430895402,0.03890159173825055,0.1021118350545661,0.1520163710952285,-0.3417006710336783,-0.009894533442055757
D6,0.013837859712207785,0.23962606814007742,0.043029353670388876,-0.2586814237995887,-0.05056166726493798,0.06420707336745661,-0.03201230089751035,-0.019444962928093817
D7,0.22568020053065796,-0.11289684041718522,-0.014720259521011874,-0.10461890955699875,0.02530073105314247,-0.01786309697035506,0.007195870900648357,-0.008077696018898406
D8,1.6312593121139877e-9,1.6312593121139817e-9,1.6312593121139827e-9,1.6312593121139827e-9,1.6312593121139838e-9,1.6312593121139838e-9,1.6312593121139844e-9,1.631259312113984e-9
