states	PB1	PA	HA	NP	NA	MP	NS
20000000	2	3	2	6	3	2	9
20020000	2	4	2	5	3	2	9
20040000	2	7	2	6	5	2	9
20060000	3	4	2	6	3	2	8
20080000	2	4	2	6	3	2	12
20100000	2	3	2	7	4	2	13
20120000	2	4	2	6	3	2	8
20140000	2	4	2	6	3	2	13
20160000	2	5	2	6	3	2	13
20180000	2	4	2	6	3	2	12
20200000	3	5	3	6	3	2	12
20220000	2	4	2	5	3	2	11
20240000	2	4	2	4	3	2	11
20260000	2	4	2	5	3	2	10
20280000	2	4	2	6	3	2	11
20300000	2	4	2	5	4	2	10
20320000	2	4	2	6	3	2	9
20340000	2	4	2	5	3	2	10
20360000	2	3	2	5	3	2	10
20380000	2	4	2	7	3	2	8
20400000	3	3	2	6	3	2	12
20420000	2	3	2	8	3	2	9
20440000	3	4	2	6	3	2	12
20460000	2	4	2	6	3	2	14
20480000	2	5	2	6	3	2	13
20500000	2	4	2	5	3	2	9
20520000	2	4	2	5	3	2	9
20540000	2	4	2	6	3	2	10
20560000	2	4	2	6	3	2	9
20580000	2	4	2	5	3	2	9
20600000	2	4	2	6	3	2	13
20620000	2	7	2	6	3	2	8
20640000	2	4	2	5	3	2	8
20660000	2	4	2	5	3	2	8
20680000	2	4	2	6	3	2	8
20700000	2	3	2	6	3	2	9
20720000	3	4	2	6	3	2	8
20740000	2	4	3	6	3	2	11
20760000	2	4	2	5	3	2	10
20780000	2	3	2	8	3	2	10
20800000	2	3	2	7	3	2	8
20820000	3	4	2	5	3	2	8
20840000	2	3	3	6	3	3	9
20860000	2	4	2	8	3	2	12
20880000	2	3	2	6	3	2	9
20900000	3	4	2	6	3	3	8
20920000	2	4	2	5	3	2	9
20940000	2	3	2	5	3	2	12
20960000	2	4	2	5	3	2	11
20980000	2	4	2	5	3	2	11
21000000	2	4	2	7	3	2	11
21020000	3	4	2	5	3	2	9
21040000	2	4	2	6	3	2	10
21060000	3	4	2	6	3	2	11
21080000	2	4	2	7	3	2	10
21100000	2	4	2	6	3	2	12
21120000	3	4	2	6	4	2	12
21140000	2	4	2	5	3	2	12
21160000	2	3	2	6	3	2	12
21180000	3	5	2	6	3	2	8
21200000	3	5	2	6	3	2	8
21220000	2	4	2	6	3	2	10
21240000	2	4	2	6	3	2	8
21260000	3	4	2	6	4	2	8
21280000	3	5	2	6	3	2	8
21300000	2	5	2	6	3	2	9
21320000	2	3	2	8	3	2	8
21340000	2	4	2	5	4	2	10
21360000	2	4	2	8	3	2	8
21380000	2	4	2	6	3	2	9
21400000	3	4	2	5	3	2	8
21420000	2	4	2	5	3	4	8
21440000	2	4	2	6	3	2	8
21460000	2	4	2	5	3	2	8
21480000	2	4	2	5	3	2	9
21500000	2	4	2	6	3	2	9
21520000	3	4	2	6	3	2	9
21540000	2	4	2	6	3	2	9
21560000	2	4	2	5	3	2	11
21580000	2	4	3	5	3	2	8
21600000	2	7	2	5	3	2	9
21620000	3	4	2	6	3	2	9
21640000	3	4	2	6	3	2	8
