states	PB1	PB2	PA	HA	NA	MP	NS
23520000	6	4	4	7	4	0	7
23540000	6	4	4	7	4	1	7
23560000	6	4	4	8	4	0	6
23580000	6	4	5	7	4	1	6
23600000	6	4	4	7	4	0	7
23620000	6	4	4	7	4	0	7
23640000	6	4	6	8	4	0	7
23660000	6	4	4	7	4	0	7
23680000	6	4	5	8	4	0	7
23700000	6	4	3	6	5	0	8
23720000	6	4	4	7	4	0	7
23740000	6	5	3	7	4	0	7
23760000	6	4	4	7	4	0	7
23780000	6	4	5	8	4	0	7
23800000	6	4	4	7	4	0	6
23820000	6	4	5	7	4	0	7
23840000	6	4	5	8	4	0	6
23860000	5	4	4	7	4	0	8
23880000	6	4	4	8	5	0	7
23900000	6	4	4	7	4	0	6
23920000	6	4	3	6	4	0	9
23940000	6	4	4	7	4	0	7
23960000	6	4	3	8	4	0	7
23980000	6	4	7	7	4	0	7
24000000	6	4	4	7	5	0	7
24020000	6	4	3	6	5	0	10
24040000	6	4	4	7	4	0	6
24060000	7	4	5	8	5	0	7
24080000	6	4	3	7	5	0	8
24100000	6	5	3	7	4	0	6
24120000	7	5	4	7	4	0	7
24140000	8	4	3	8	5	0	6
24160000	6	3	3	7	3	0	8
24180000	6	7	4	7	5	0	6
24200000	6	4	4	9	4	0	7
24220000	6	3	4	7	3	0	7
24240000	6	3	5	8	3	1	7
24260000	6	3	8	7	3	1	7
24280000	6	3	7	7	3	1	6
24300000	6	4	3	7	5	1	7
24320000	6	4	3	7	5	0	7
24340000	6	4	4	7	4	0	8
24360000	5	4	4	6	4	0	7
24380000	6	5	4	7	5	0	8
24400000	6	4	6	7	4	0	8
24420000	6	4	3	7	4	0	8
24440000	6	4	3	7	4	0	9
24460000	6	4	5	7	4	0	6
24480000	6	4	3	7	4	0	7
24500000	6	5	4	7	5	0	8
24520000	6	4	4	7	6	0	7
24540000	7	4	5	7	5	1	7
24560000	6	5	3	7	5	0	8
24580000	6	4	3	6	4	0	8
24600000	6	4	3	7	4	0	7
24620000	6	4	4	8	4	0	6
24640000	7	4	5	7	4	0	7
24660000	5	4	4	7	4	0	7
24680000	5	4	4	9	3	0	7
24700000	5	4	4	6	4	0	7
24720000	6	4	4	7	4	0	7
24740000	8	4	4	7	5	0	8
24760000	5	6	4	7	4	0	7
24780000	5	4	3	6	6	0	8
24800000	5	4	6	7	5	0	6
24820000	9	4	4	7	5	0	6
24840000	7	4	5	10	4	0	8
24860000	5	4	4	7	5	0	7
24880000	6	4	3	7	4	0	7
24900000	6	4	4	7	5	0	7
24920000	6	4	4	7	4	0	7
24940000	6	4	5	7	4	0	7
24960000	6	4	4	7	4	0	7
24980000	6	4	4	7	4	0	7
25000000	6	4	4	7	4	0	8
25020000	5	4	4	8	4	0	7
25040000	6	4	3	6	4	0	8
25060000	5	4	4	7	4	0	6
25080000	7	3	4	8	3	0	7
25100000	6	4	3	6	4	0	6
25120000	6	4	3	6	4	0	8
25140000	6	4	3	9	4	0	7
25160000	6	4	4	7	4	0	6
25180000	6	4	5	7	4	0	9
25200000	6	4	5	7	4	0	8
25220000	6	4	4	8	4	0	8
25240000	6	4	5	7	4	0	8
25260000	6	4	3	7	4	0	7
25280000	6	5	6	7	5	0	6
25300000	6	4	4	8	4	0	9
25320000	6	4	4	7	4	0	8
25340000	5	4	4	7	5	0	7
25360000	6	4	4	7	6	0	9
25380000	6	4	4	9	4	0	8
25400000	6	4	3	7	5	0	6
25420000	6	4	5	6	5	0	8
25440000	5	4	3	6	4	0	6
25460000	6	4	3	6	5	0	8
25480000	6	4	3	7	4	0	7
25500000	7	4	4	7	4	0	7
25520000	6	4	5	7	4	0	7
25540000	6	3	4	7	3	0	7
25560000	6	4	5	7	3	0	7
25580000	5	3	3	7	3	0	7
25600000	6	4	4	7	5	0	8
25620000	6	4	6	7	4	0	8
25640000	6	4	4	7	5	0	7
25660000	6	4	3	7	5	0	7
25680000	6	4	4	7	4	0	8
25700000	6	4	4	7	4	0	7
25720000	6	4	4	7	4	0	7
25740000	6	4	4	7	4	0	8
25760000	6	3	4	8	3	1	8
25780000	7	4	3	7	5	0	6
25800000	6	4	4	7	5	0	6
25820000	6	4	8	7	4	0	6
25840000	6	5	4	7	5	0	7
25860000	7	4	4	7	4	0	7
25880000	6	4	4	7	4	0	6
25900000	7	4	4	7	4	0	7
25920000	7	4	6	8	4	0	6
25940000	8	3	6	7	3	0	7
25960000	10	4	4	7	7	0	7
25980000	6	4	4	7	5	0	7
26000000	6	4	4	7	5	0	8
26020000	6	4	3	8	4	0	8
26040000	6	4	5	6	5	0	8
26060000	5	4	4	7	4	0	7
26080000	6	4	3	7	5	0	7
26100000	6	3	3	8	3	0	7
26120000	7	3	3	7	6	0	5
26140000	6	4	4	9	6	0	7
26160000	6	4	3	7	4	0	7
26180000	6	4	4	7	5	0	8
26200000	6	4	4	7	4	0	7
26220000	6	4	4	7	4	0	6
26240000	6	4	4	7	4	0	7
26260000	7	4	5	7	4	0	8
26280000	6	4	8	7	4	0	9
26300000	6	4	3	7	4	0	6
26320000	6	4	5	7	4	0	6
26340000	6	4	3	6	4	0	8
26360000	6	4	4	7	5	0	7
26380000	6	4	6	7	4	0	6
26400000	6	4	4	7	4	0	6
26420000	5	4	4	7	4	0	7
26440000	6	4	4	7	4	0	8
26460000	5	4	4	8	4	0	8
26480000	6	4	4	8	5	0	6
26500000	7	4	3	7	5	0	6
26520000	5	4	6	9	4	0	6
26540000	6	4	3	6	3	0	8
26560000	7	4	4	7	4	0	7
26580000	6	4	4	7	4	0	8
26600000	7	4	4	8	4	0	7
26620000	6	4	5	7	4	0	8
26640000	6	6	3	8	4	1	7
26660000	6	4	5	7	5	0	7
