states	PB1	PA	HA	NP	NA	MP	NS
20000000	2	4	2	7	3	2	10
20020000	2	4	2	6	3	2	10
20040000	2	4	2	6	3	2	10
20060000	3	4	2	7	3	2	10
20080000	2	4	2	6	3	2	9
20100000	3	4	3	5	3	2	10
20120000	2	4	2	5	3	2	10
20140000	2	4	2	5	3	2	11
20160000	2	4	2	5	3	2	10
20180000	2	5	2	6	3	2	11
20200000	2	4	2	6	3	2	10
20220000	2	4	2	6	3	2	10
20240000	2	4	2	7	3	2	13
20260000	2	4	2	6	4	2	14
20280000	2	4	2	6	3	2	10
20300000	2	4	2	4	3	2	10
20320000	2	4	2	8	3	2	11
20340000	2	4	2	5	3	2	11
20360000	3	3	3	5	3	2	10
20380000	3	3	2	5	3	2	14
20400000	2	4	2	6	3	2	12
20420000	2	4	2	7	3	2	10
20440000	2	5	2	6	4	2	11
20460000	4	5	2	6	3	4	8
20480000	2	4	2	6	3	2	8
20500000	2	3	2	6	3	2	10
20520000	2	4	2	4	3	2	9
20540000	2	4	2	4	3	2	10
20560000	2	4	2	5	3	2	9
20580000	3	4	3	5	3	2	8
20600000	2	4	2	6	3	2	8
20620000	2	4	2	6	4	2	8
20640000	2	6	2	6	3	2	10
20660000	2	4	2	6	3	2	10
20680000	2	3	2	6	3	2	11
20700000	2	4	2	7	3	2	8
20720000	2	5	2	6	3	2	11
20740000	3	4	2	6	3	2	11
20760000	2	3	3	4	3	2	11
20780000	3	4	2	6	3	2	10
20800000	2	4	2	5	3	2	8
20820000	2	4	2	6	3	2	9
20840000	2	4	2	6	3	2	10
20860000	2	4	2	6	3	2	8
20880000	2	3	2	5	3	2	11
20900000	2	4	2	6	3	2	11
20920000	2	3	2	6	3	2	10
20940000	2	3	2	6	3	3	8
20960000	2	4	2	6	3	2	11
20980000	2	4	2	6	3	2	9
21000000	2	3	2	6	3	2	12
21020000	2	4	2	6	3	2	8
21040000	2	4	2	6	3	2	10
21060000	3	3	2	6	3	2	10
21080000	2	4	2	6	3	3	10
21100000	2	4	2	6	3	2	11
21120000	2	4	2	6	3	2	10
21140000	2	4	2	6	3	2	10
21160000	2	4	2	5	3	2	8
21180000	3	4	2	5	3	2	9
21200000	3	3	2	6	3	2	9
21220000	2	3	3	5	3	2	8
21240000	3	7	2	6	3	2	9
21260000	2	4	2	6	3	2	8
21280000	2	4	2	8	3	2	9
21300000	3	7	2	6	3	2	8
21320000	2	4	2	6	3	2	9
21340000	2	5	2	6	3	2	9
21360000	3	4	2	8	3	2	9
21380000	2	4	2	6	3	2	11
21400000	3	4	2	6	3	2	11
21420000	2	4	2	5	3	2	11
21440000	2	4	2	5	4	2	10
21460000	2	4	3	5	3	2	11
21480000	2	4	2	6	4	3	10
21500000	3	4	2	5	3	2	11
21520000	2	4	2	6	3	2	10
21540000	2	4	2	6	3	2	10
21560000	2	5	2	8	3	2	10
21580000	2	3	2	6	3	2	9
21600000	2	4	2	4	3	2	8
21620000	2	4	2	6	3	2	11
21640000	3	4	2	6	4	2	8
21660000	2	4	2	6	3	2	8
21680000	4	4	2	6	3	2	8
21700000	2	4	2	6	3	2	8
21720000	2	4	2	5	3	2	8
21740000	2	4	2	6	3	2	9
21760000	2	6	2	6	3	2	8
21780000	2	4	2	6	3	2	11
21800000	3	4	2	7	3	2	8
21820000	2	3	2	5	3	2	9
21840000	2	4	2	6	3	2	9
21860000	2	4	2	6	3	2	9
21880000	2	4	2	6	3	2	9
21900000	2	4	2	6	5	2	9
21920000	2	4	2	8	3	2	8
21940000	2	4	2	6	3	2	12
21960000	2	5	2	6	3	2	10
21980000	2	4	2	6	4	2	10
22000000	2	5	2	5	3	2	13
22020000	2	4	2	5	3	2	10
22040000	2	4	2	6	3	2	10
22060000	2	5	3	6	3	2	8
22080000	2	4	2	6	3	2	8
22100000	2	4	2	6	3	2	8
22120000	2	4	2	7	3	2	10
22140000	2	4	2	6	3	2	8
22160000	2	4	2	5	3	2	10
22180000	2	4	2	6	3	2	8
22200000	2	3	2	6	3	2	9
22220000	3	4	2	5	3	2	8
22240000	2	4	2	4	3	2	8
22260000	4	4	2	8	3	2	8
22280000	2	3	2	6	4	2	8
22300000	2	4	2	6	3	2	10
22320000	2	5	2	5	3	2	8
22340000	2	5	2	6	3	2	9
22360000	2	5	2	5	3	2	10
22380000	2	4	2	6	3	2	8
22400000	2	3	2	6	3	2	11
22420000	2	4	3	6	3	2	8
22440000	2	4	2	6	3	2	9
22460000	2	4	2	7	3	2	8
22480000	2	5	2	6	4	2	9
22500000	2	4	2	7	3	2	8
22520000	2	4	2	6	3	2	8
22540000	2	4	2	4	3	2	8
22560000	2	4	2	6	3	2	8
22580000	3	4	2	7	3	2	8
22600000	2	4	3	6	4	2	8
22620000	3	4	2	8	3	2	8
22640000	2	4	2	6	4	2	9
22660000	2	4	3	6	3	2	8
22680000	2	4	2	5	3	2	9
22700000	2	4	2	6	3	2	8
22720000	3	4	2	6	3	2	12
22740000	2	5	2	6	3	2	11
22760000	2	4	3	5	4	2	8
22780000	2	4	2	6	3	3	10
22800000	2	4	2	6	3	3	10
22820000	3	4	2	7	3	3	11
22840000	2	4	2	5	3	2	13
22860000	2	4	2	6	3	2	11
22880000	2	4	2	6	3	2	11
22900000	2	5	2	5	3	2	10
22920000	2	3	2	5	3	2	9
22940000	2	4	2	6	3	2	9
22960000	2	4	2	6	3	2	9
22980000	2	4	2	5	3	2	9
23000000	3	3	2	7	3	2	8
23020000	2	4	2	5	4	2	8
23040000	2	4	2	4	3	2	8
23060000	2	4	2	6	3	2	15
23080000	3	4	2	6	3	2	11
23100000	3	4	2	6	3	2	11
23120000	2	4	2	6	3	2	8
23140000	2	4	2	6	3	2	10
23160000	2	4	2	6	3	2	10
23180000	2	5	2	5	3	2	12
23200000	2	4	3	6	3	2	8
23220000	2	3	2	5	3	2	8
23240000	2	4	3	5	3	2	8
23260000	2	4	2	5	3	2	9
23280000	2	4	2	6	3	2	8
23300000	2	4	2	6	3	2	8
23320000	2	4	2	5	3	2	11
23340000	2	4	2	5	3	2	9
23360000	2	5	2	5	3	2	8
23380000	2	4	2	6	3	2	13
23400000	2	4	2	5	4	2	9
23420000	2	5	3	4	3	2	8
23440000	2	4	2	6	3	2	8
23460000	3	4	3	6	3	2	8
23480000	2	4	2	6	4	2	8
23500000	2	4	2	8	3	2	8
23520000	2	4	2	6	3	2	8
23540000	3	4	2	6	3	2	9
23560000	2	4	2	6	3	2	10
23580000	2	3	3	6	3	2	8
23600000	2	4	3	5	3	2	9
23620000	2	4	3	6	3	2	8
23640000	2	3	2	5	3	2	8
23660000	3	4	2	6	3	2	9
23680000	3	4	2	6	3	2	8
23700000	2	4	2	6	3	2	8
23720000	2	4	2	5	3	2	8
23740000	2	4	2	6	3	2	8
23760000	2	5	2	6	4	2	8
23780000	2	4	2	6	3	2	8
23800000	2	4	2	5	3	2	8
23820000	2	3	2	6	3	2	8
23840000	2	4	2	5	3	5	11
23860000	2	4	2	6	3	2	9
23880000	2	4	2	6	3	2	10
23900000	2	7	2	7	3	2	9
23920000	2	4	2	5	3	2	9
23940000	3	5	2	6	3	2	10
23960000	3	4	2	6	3	2	9
23980000	3	4	2	6	3	2	9
24000000	2	4	3	5	3	2	8
24020000	2	3	2	10	3	2	12
24040000	2	3	2	7	3	2	8
24060000	2	4	2	6	4	2	8
24080000	2	4	2	6	3	2	9
24100000	3	4	2	6	3	4	8
24120000	2	4	2	8	3	2	8
24140000	3	5	2	7	3	2	8
24160000	2	4	2	6	3	2	10
24180000	2	3	3	5	3	2	8
24200000	2	4	2	6	4	2	11
24220000	2	4	2	6	3	2	9
24240000	2	4	2	6	3	2	9
