states	PB1	PA	HA	NP	NA	MP	NS
20000000	2	4	2	6	3	2	8
20020000	2	3	2	6	3	2	10
20040000	2	3	2	6	4	2	8
20060000	2	3	2	6	3	2	11
20080000	2	4	2	5	3	2	8
20100000	3	4	2	6	3	2	9
20120000	3	4	2	5	3	2	8
20140000	3	5	2	5	3	3	9
20160000	2	3	2	5	3	2	10
20180000	2	4	2	5	3	2	8
20200000	2	4	2	6	3	2	9
20220000	2	4	2	6	3	2	8
20240000	2	3	2	6	3	2	10
20260000	2	4	2	6	3	2	8
20280000	2	3	2	5	4	2	9
20300000	2	4	2	6	3	2	8
20320000	3	4	3	6	3	2	10
20340000	2	4	2	6	4	2	8
20360000	3	4	3	5	3	2	8
20380000	2	9	2	6	3	2	8
20400000	2	4	2	6	3	2	8
20420000	3	4	2	6	3	2	8
20440000	2	4	2	5	3	2	9
20460000	2	5	2	5	3	2	11
20480000	2	4	2	5	3	2	10
20500000	2	4	2	5	3	2	8
20520000	2	4	2	5	3	2	11
20540000	2	5	2	6	3	2	8
20560000	2	4	2	5	3	3	8
20580000	2	4	2	8	3	2	9
20600000	2	4	2	6	3	2	8
20620000	3	4	2	6	3	2	8
20640000	3	4	2	5	3	2	9
20660000	2	3	4	5	3	2	8
20680000	2	4	2	5	3	2	8
20700000	2	3	2	5	3	2	8
20720000	2	4	2	6	3	2	8
20740000	2	4	2	7	3	2	9
20760000	2	4	2	6	3	2	9
20780000	2	4	2	6	3	2	9
20800000	2	4	2	5	3	2	10
20820000	2	4	2	6	3	2	12
20840000	2	3	2	6	3	2	10
20860000	3	4	2	6	4	2	8
20880000	2	4	2	6	3	4	9
20900000	2	4	2	7	3	2	8
20920000	2	4	3	6	3	2	8
20940000	2	4	2	6	3	2	8
20960000	3	5	2	5	3	2	8
20980000	2	4	2	7	3	2	9
21000000	2	4	2	6	3	2	8
21020000	2	3	2	6	3	2	8
21040000	2	4	2	5	3	2	8
21060000	2	3	2	6	3	3	8
21080000	2	3	2	6	3	2	9
21100000	2	4	2	5	3	3	8
21120000	2	4	2	6	3	2	11
21140000	2	3	2	6	3	2	9
21160000	2	4	2	6	3	2	8
21180000	3	4	2	6	3	2	8
21200000	3	4	2	7	3	2	8
21220000	2	5	2	6	3	2	11
21240000	3	5	2	6	4	2	8
21260000	2	4	2	6	3	2	10
