states	PB2	PA	HA	NP	NA	MP	NS
23520000	2	5	3	5	2	2	4
23540000	2	6	3	5	3	2	5
23560000	2	5	3	5	2	2	5
23580000	2	5	3	6	2	2	5
23600000	2	5	3	6	2	2	3
23620000	2	5	3	5	2	4	4
23640000	2	7	4	5	2	2	3
23660000	2	5	3	5	2	2	3
23680000	2	5	3	7	2	2	4
23700000	2	5	3	6	2	2	4
23720000	2	5	3	5	3	2	3
23740000	2	5	3	5	2	2	3
23760000	2	5	3	7	2	2	5
23780000	2	5	3	6	2	2	3
23800000	2	5	3	7	2	2	4
23820000	2	5	3	5	2	2	4
23840000	2	6	4	5	2	2	4
23860000	2	5	4	5	3	2	5
23880000	2	5	4	7	3	2	5
23900000	2	5	3	5	2	2	4
23920000	2	5	3	5	3	4	5
23940000	2	5	3	5	2	2	4
23960000	2	5	3	5	2	2	4
23980000	3	5	3	5	2	2	5
24000000	2	5	4	6	3	2	4
24020000	2	4	3	5	2	2	4
24040000	3	5	4	5	2	2	4
24060000	2	5	4	5	3	2	3
24080000	2	5	3	5	2	2	4
24100000	2	5	4	6	2	2	6
24120000	2	5	3	6	2	2	5
24140000	2	6	3	5	2	2	3
24160000	3	5	3	6	2	2	3
24180000	2	6	3	5	2	2	6
24200000	2	5	4	7	2	2	5
24220000	2	5	3	5	2	3	6
24240000	2	5	3	5	2	2	5
24260000	2	5	3	5	2	2	4
24280000	2	4	3	7	2	2	4
24300000	2	5	3	5	2	2	4
24320000	2	5	3	5	2	2	5
24340000	2	5	3	5	2	2	4
24360000	3	5	3	5	2	2	5
24380000	2	5	3	5	2	2	6
24400000	2	5	3	5	2	2	4
24420000	2	5	4	5	2	2	5
24440000	2	5	3	5	2	2	5
24460000	2	5	3	5	2	2	5
24480000	2	5	3	5	2	2	4
24500000	2	5	3	6	2	2	4
24520000	2	7	3	5	2	2	4
24540000	3	5	3	6	2	2	4
24560000	2	6	4	5	2	2	5
24580000	2	5	4	5	2	2	6
24600000	3	6	3	5	2	2	5
24620000	3	5	3	5	2	2	6
24640000	2	5	4	5	2	2	5
24660000	2	6	4	5	2	2	4
24680000	3	6	3	7	2	2	5
24700000	2	6	4	5	2	2	3
24720000	3	5	3	5	2	2	3
24740000	2	5	3	5	2	2	5
24760000	2	7	3	5	2	2	4
24780000	2	6	3	5	2	2	3
24800000	2	5	4	5	2	2	4
24820000	2	6	3	5	2	2	3
24840000	3	5	3	5	2	2	4
24860000	2	4	3	5	2	2	4
24880000	2	4	3	5	2	2	5
24900000	2	6	4	5	2	2	4
24920000	2	5	3	5	2	3	5
24940000	2	5	3	7	2	2	4
24960000	2	5	3	5	2	2	3
24980000	2	5	3	5	2	2	5
25000000	2	6	4	5	2	2	4
25020000	2	5	4	5	2	3	4
25040000	3	6	4	5	2	2	5
25060000	2	6	3	6	2	2	4
