states	PB2	PA	HA	NP	NA	MP	NS
20000000	2	5	3	7	2	2	6
20020000	2	6	3	6	2	3	6
20040000	2	5	3	5	2	2	4
20060000	2	5	3	5	2	3	4
20080000	2	5	3	6	2	2	4
20100000	2	5	3	5	2	2	5
20120000	2	5	3	5	2	2	4
20140000	3	5	4	5	2	2	4
20160000	3	5	4	5	2	2	5
20180000	3	5	4	6	2	2	4
20200000	2	4	4	5	2	2	4
20220000	2	5	3	5	2	2	5
20240000	2	7	3	6	2	2	4
20260000	2	6	3	5	2	2	4
20280000	2	6	4	5	3	2	4
20300000	2	5	3	5	2	2	5
20320000	3	5	3	5	2	2	3
20340000	2	5	3	5	2	2	4
20360000	3	5	4	5	2	2	4
20380000	2	4	3	5	2	2	4
20400000	2	5	3	5	2	2	5
20420000	2	5	4	5	2	2	5
20440000	2	5	3	5	2	2	4
20460000	2	6	4	5	2	2	4
20480000	2	4	4	7	2	2	5
20500000	2	5	3	5	2	2	4
20520000	3	6	4	5	2	2	4
20540000	3	5	3	8	2	2	5
20560000	2	5	3	7	2	2	5
20580000	2	5	3	5	2	2	4
20600000	2	5	3	5	2	3	4
20620000	2	5	4	5	2	2	4
20640000	2	6	4	5	2	2	5
20660000	3	6	4	5	2	2	3
20680000	3	5	5	5	2	2	6
20700000	2	5	3	5	2	2	5
20720000	2	5	4	5	2	2	4
20740000	2	5	3	5	2	2	5
20760000	3	6	3	5	2	2	3
20780000	2	5	4	5	2	2	4
20800000	2	5	3	5	2	2	4
20820000	2	5	3	5	2	2	5
20840000	3	6	4	5	2	2	4
20860000	2	5	4	7	3	2	4
20880000	2	5	3	5	2	2	4
20900000	2	6	4	8	2	2	4
20920000	2	5	4	5	2	2	4
20940000	2	6	4	5	2	2	5
20960000	2	5	4	5	2	3	4
20980000	3	5	4	5	2	2	4
21000000	3	6	4	5	2	2	4
21020000	2	5	3	5	2	2	5
21040000	3	5	5	5	2	2	5
21060000	2	6	4	5	2	2	4
21080000	2	6	3	5	2	2	3
21100000	2	5	3	5	2	2	3
21120000	2	5	3	5	2	2	4
21140000	2	6	3	5	2	3	3
21160000	2	5	3	6	2	2	5
21180000	3	5	3	5	2	2	5
21200000	3	5	4	5	2	2	4
21220000	2	5	5	5	2	2	4
21240000	2	5	4	5	2	2	5
21260000	3	5	3	5	2	2	4
21280000	2	4	3	5	2	2	4
21300000	2	5	3	5	2	2	3
21320000	3	6	4	5	2	2	4
21340000	2	5	3	5	2	2	4
21360000	2	5	3	5	2	2	4
21380000	2	5	3	5	2	2	5
21400000	2	5	3	5	2	2	5
21420000	2	5	4	6	2	2	4
21440000	2	5	3	5	2	2	4
21460000	2	6	3	5	2	2	4
21480000	2	5	3	5	2	2	5
21500000	2	5	3	5	2	2	3
21520000	2	5	4	5	2	2	5
21540000	2	5	3	5	2	2	5
21560000	2	5	3	5	2	2	4
21580000	2	5	4	5	2	2	4
21600000	3	5	3	5	2	2	4
21620000	2	5	4	7	2	2	5
21640000	3	5	3	5	2	2	4
21660000	2	5	4	5	2	2	5
21680000	2	5	3	5	2	2	5
21700000	2	5	3	5	2	2	4
21720000	2	5	3	5	2	2	5
21740000	2	6	3	5	3	2	3
21760000	2	6	3	5	2	2	5
21780000	2	6	4	5	2	2	3
21800000	2	5	4	5	2	2	5
21820000	2	5	3	5	2	2	5
21840000	2	5	3	5	2	2	4
21860000	2	5	4	5	2	2	4
21880000	3	6	3	5	3	2	5
21900000	2	4	3	5	2	2	4
21920000	4	5	4	5	3	2	6
21940000	2	4	3	5	2	2	6
21960000	2	4	4	7	2	2	4
21980000	2	4	4	5	2	2	5
22000000	2	4	3	5	2	2	3
22020000	2	6	4	6	2	2	3
22040000	2	5	4	5	2	2	4
22060000	2	5	3	5	2	2	4
22080000	2	4	4	5	2	2	4
22100000	3	5	4	5	2	2	4
22120000	2	6	5	5	2	3	4
22140000	2	5	3	7	2	2	5
22160000	2	5	3	5	2	2	3
22180000	3	5	3	6	2	2	4
22200000	2	5	3	5	2	2	5
22220000	2	5	3	7	3	5	5
22240000	2	5	3	7	2	4	4
22260000	3	5	3	5	2	2	5
22280000	2	5	3	7	2	2	5
22300000	2	5	3	7	2	2	5
22320000	2	5	3	7	2	2	5
22340000	3	5	3	5	2	2	4
22360000	3	5	4	5	2	2	5
22380000	2	5	3	7	2	2	3
22400000	3	5	3	5	2	2	4
22420000	2	7	4	5	2	2	4
22440000	2	6	3	5	2	2	5
22460000	2	5	4	5	2	2	3
22480000	2	5	3	5	2	2	4
22500000	2	5	3	5	2	2	4
22520000	2	5	3	5	2	2	4
22540000	2	6	3	5	2	2	4
22560000	2	7	3	5	2	2	4
22580000	2	5	3	7	2	2	4
22600000	2	5	3	10	2	2	5
22620000	2	5	3	6	2	2	4
22640000	2	4	3	5	2	2	5
22660000	2	5	3	5	2	2	4
22680000	2	5	4	5	2	2	5
22700000	2	5	3	5	2	2	5
22720000	2	6	3	5	2	2	3
22740000	2	7	4	5	2	2	5
22760000	3	5	3	5	2	2	4
22780000	3	5	3	5	2	2	4
22800000	2	6	3	5	2	2	5
22820000	3	5	3	6	2	2	5
22840000	2	6	3	5	2	2	4
22860000	2	5	3	6	2	2	4
22880000	2	5	3	5	2	2	5
22900000	2	5	4	5	2	2	3
22920000	2	5	3	6	3	2	4
22940000	2	4	3	8	2	2	4
22960000	2	6	3	6	2	2	4
22980000	2	5	4	5	2	2	5
23000000	2	5	3	5	2	2	4
23020000	2	5	4	5	2	2	5
23040000	2	5	3	6	2	2	5
23060000	2	6	3	6	2	2	5
23080000	2	6	3	5	2	2	5
23100000	2	6	4	5	2	2	5
23120000	2	5	4	7	2	2	4
23140000	3	5	4	5	2	2	6
23160000	2	5	3	6	2	2	4
23180000	2	5	4	5	2	2	3
23200000	2	6	4	5	2	2	4
23220000	3	5	3	5	2	2	4
23240000	3	6	3	5	2	2	5
23260000	2	5	3	5	2	2	3
23280000	2	5	3	7	3	2	4
23300000	2	5	3	5	2	2	3
23320000	2	6	3	6	2	2	4
23340000	2	5	3	5	3	2	4
23360000	2	5	3	5	2	2	3
23380000	2	5	3	6	3	2	4
23400000	3	5	4	5	2	2	5
23420000	2	5	3	6	2	2	6
23440000	2	5	3	5	2	2	5
23460000	2	4	4	5	2	2	7
23480000	2	6	3	5	2	2	5
23500000	2	7	4	5	2	2	4
23520000	2	5	3	7	2	2	5
23540000	2	5	4	5	2	2	4
23560000	2	6	3	5	2	2	5
23580000	2	5	4	5	2	2	4
23600000	2	5	4	5	2	2	5
23620000	2	6	3	5	2	2	5
23640000	2	5	5	5	3	2	4
23660000	2	5	3	5	2	2	4
23680000	2	5	4	5	2	2	5
23700000	2	5	3	5	2	2	4
23720000	2	5	4	7	2	2	4
23740000	2	5	4	5	2	2	5
23760000	3	5	4	5	2	2	3
23780000	2	6	3	5	3	2	5
23800000	2	5	4	5	2	2	4
23820000	2	5	3	5	2	2	4
23840000	2	6	3	5	2	2	4
23860000	2	5	4	5	2	2	5
23880000	2	6	3	5	2	2	4
23900000	2	5	3	5	2	2	5
23920000	2	5	3	5	2	2	5
23940000	2	5	4	5	2	2	4
23960000	2	7	4	5	2	2	5
23980000	2	5	3	5	2	2	5
24000000	2	7	3	5	2	2	5
24020000	2	4	4	5	2	2	4
24040000	2	5	4	5	2	2	5
24060000	2	4	5	5	2	2	3
24080000	2	5	3	5	2	2	5
24100000	2	5	4	5	2	2	5
24120000	2	6	3	5	2	2	4
24140000	2	5	3	5	2	2	6
24160000	2	5	3	5	2	2	4
24180000	2	5	3	5	2	2	3
24200000	2	6	3	5	3	2	3
24220000	2	5	3	5	2	2	5
24240000	2	5	4	5	2	2	5
24260000	2	5	4	5	2	2	4
24280000	2	6	3	7	2	2	4
24300000	3	5	3	6	2	4	4
24320000	2	4	5	5	2	2	5
24340000	2	5	3	5	2	2	5
24360000	2	5	3	5	2	2	4
24380000	2	5	4	5	2	4	5
24400000	3	5	4	5	2	2	4
24420000	2	5	4	5	2	2	5
24440000	2	5	3	5	2	4	4
24460000	2	5	3	5	2	2	5
24480000	2	6	3	5	2	2	4
24500000	2	5	3	5	2	2	5
24520000	2	5	3	5	2	2	5
24540000	2	6	3	5	2	2	4
24560000	2	5	4	5	2	3	4
24580000	2	6	3	7	2	2	5
24600000	2	5	3	5	2	2	5
24620000	3	4	3	5	2	2	4
24640000	2	5	3	5	2	2	5
24660000	2	5	3	5	2	3	5
24680000	3	5	3	6	2	2	5
24700000	2	4	3	5	2	2	4
24720000	2	6	3	5	2	2	4
24740000	2	5	3	5	2	4	5
24760000	2	7	3	7	2	2	4
24780000	2	6	3	5	2	2	5
24800000	2	5	4	5	2	2	4
24820000	2	5	3	5	2	2	7
24840000	2	5	3	5	2	2	4
24860000	2	6	3	5	3	2	4
24880000	2	5	3	5	3	2	5
24900000	2	7	4	6	2	2	4
24920000	3	4	3	5	2	2	3
24940000	3	4	3	5	3	2	3
24960000	2	6	3	5	2	2	5
24980000	3	5	3	5	2	2	4
25000000	2	4	3	5	2	2	5
25020000	2	5	3	5	2	2	3
25040000	2	6	3	6	2	2	4
25060000	2	5	3	5	2	2	5
25080000	2	5	3	6	2	2	3
25100000	3	5	3	5	2	2	5
25120000	2	4	3	6	2	3	3
25140000	2	4	3	5	3	2	4
25160000	2	4	3	5	2	2	5
25180000	3	7	3	5	2	3	5
25200000	3	5	4	5	3	2	4
25220000	2	5	3	5	2	2	4
25240000	3	5	4	5	2	2	4
25260000	2	5	4	5	2	2	5
25280000	2	4	3	5	2	2	5
25300000	2	5	3	5	2	2	4
25320000	2	5	4	7	2	2	5
25340000	2	5	4	5	2	4	5
25360000	2	5	3	5	2	2	4
25380000	2	5	3	5	2	2	5
25400000	2	5	3	6	2	4	4
25420000	2	5	4	5	2	2	4
25440000	2	5	3	5	2	2	4
25460000	2	6	3	5	2	3	6
25480000	2	5	3	5	2	2	4
25500000	2	5	3	5	2	2	5
25520000	2	6	3	7	3	2	4
25540000	2	6	3	8	2	2	4
25560000	2	5	3	5	2	2	6
25580000	2	4	4	5	3	2	4
25600000	2	8	4	5	2	2	3
25620000	2	5	4	5	2	2	4
25640000	2	6	4	5	2	2	4
25660000	2	4	3	5	2	2	4
25680000	2	6	3	5	2	2	5
25700000	2	4	3	7	3	2	5
25720000	2	5	4	5	2	2	4
25740000	2	5	4	6	2	2	6
25760000	2	7	4	5	2	2	5
25780000	3	5	3	5	2	2	5
25800000	2	6	3	6	2	2	4
25820000	2	5	3	5	2	2	5
25840000	2	5	4	5	2	2	4
25860000	3	5	4	5	2	2	4
25880000	2	5	4	5	2	2	3
25900000	3	5	3	5	2	2	5
25920000	2	5	3	5	2	2	4
25940000	2	5	3	5	2	2	4
25960000	3	5	4	5	2	3	5
25980000	2	5	4	5	2	2	6
26000000	2	5	3	5	2	3	4
26020000	2	5	4	5	2	2	5
26040000	2	6	3	5	2	2	4
26060000	2	5	3	5	2	2	4
26080000	3	5	4	5	2	2	5
26100000	2	5	3	5	2	2	6
26120000	2	4	3	6	2	2	4
26140000	3	5	4	5	2	2	4
26160000	2	5	3	5	2	2	4
26180000	2	5	3	5	2	2	4
26200000	2	6	3	5	2	2	4
26220000	3	5	4	5	2	2	6
26240000	2	5	3	5	2	2	4
26260000	2	5	4	5	2	2	3
26280000	2	6	4	5	2	2	4
26300000	2	5	3	6	2	2	4
26320000	2	5	3	5	2	2	4
26340000	2	5	3	5	2	2	5
26360000	2	6	3	5	2	3	4
26380000	2	5	3	5	3	2	4
26400000	3	5	4	5	2	2	5
26420000	2	5	4	6	2	2	4
26440000	2	5	3	5	2	2	4
26460000	2	4	3	5	2	2	4
26480000	2	5	4	5	2	2	5
26500000	2	6	3	5	2	2	4
26520000	2	5	3	5	2	2	4
26540000	2	6	3	6	2	2	5
26560000	2	5	3	5	2	2	4
26580000	3	5	3	5	2	2	5
26600000	2	5	4	5	2	2	4
26620000	2	5	4	5	2	2	4
26640000	2	5	3	7	2	2	5
26660000	3	5	3	5	2	2	4
26680000	2	5	3	5	2	2	4
26700000	2	5	3	5	4	2	4
26720000	2	5	4	5	2	2	4
26740000	2	5	3	5	2	2	4
26760000	2	4	3	5	2	2	5
26780000	2	7	3	5	2	2	6
26800000	3	5	3	5	2	2	4
26820000	3	5	4	5	2	2	5
26840000	2	6	3	5	2	2	4
26860000	2	5	3	5	2	2	5
26880000	2	5	5	5	2	2	4
26900000	2	5	5	5	2	2	4
26920000	3	6	3	5	2	2	5
26940000	3	5	3	5	2	2	5
26960000	2	6	3	5	2	2	3
26980000	2	5	4	5	2	2	3
27000000	2	4	4	5	2	2	4
27020000	2	5	3	5	2	2	4
27040000	2	4	3	6	2	2	4
27060000	2	5	4	7	2	2	4
27080000	2	5	4	5	2	2	4
27100000	2	5	4	5	2	2	5
27120000	2	5	4	7	2	2	5
27140000	2	5	4	7	2	2	4
27160000	2	5	4	7	2	2	4
27180000	2	5	3	5	2	2	5
27200000	2	5	3	7	2	2	4
27220000	2	5	4	5	3	2	6
27240000	2	5	3	5	2	2	4
27260000	3	5	3	5	2	2	5
27280000	2	5	3	5	2	2	5
27300000	2	5	3	5	2	2	6
27320000	2	5	3	5	2	2	3
27340000	3	5	4	5	2	2	3
27360000	2	4	3	6	2	2	3
27380000	2	6	3	5	2	2	5
27400000	3	5	4	5	2	2	4
27420000	2	5	3	5	2	2	4
27440000	2	5	3	5	2	2	4
27460000	3	5	3	5	2	2	4
27480000	3	5	4	5	2	2	4
27500000	2	5	3	5	2	2	4
27520000	2	7	3	5	2	2	4
27540000	2	6	4	5	2	2	4
27560000	2	4	3	6	2	2	4
27580000	3	4	3	6	2	2	5
27600000	2	6	3	5	2	2	5
27620000	2	6	3	5	2	2	4
27640000	2	5	4	5	2	2	4
27660000	2	5	3	5	2	2	4
27680000	2	5	3	6	2	2	5
27700000	2	6	3	5	2	2	4
27720000	2	5	3	5	2	2	4
27740000	2	5	3	5	3	2	3
27760000	2	8	3	5	2	2	4
27780000	2	5	3	5	2	2	5
27800000	2	5	4	5	2	2	3
27820000	2	5	3	7	2	2	6
27840000	2	5	3	5	2	2	3
27860000	2	7	3	5	2	2	3
27880000	2	5	3	5	2	2	4
27900000	2	5	4	7	2	2	4
27920000	2	5	4	5	2	2	4
27940000	2	5	3	5	2	2	4
27960000	2	5	3	5	2	2	5
27980000	2	4	3	5	2	2	4
28000000	2	5	3	5	2	2	6
28020000	3	5	4	5	2	2	4
28040000	2	5	3	6	2	2	4
28060000	2	5	3	7	2	2	5
28080000	2	5	3	5	2	2	6
28100000	2	5	4	6	2	2	4
28120000	2	5	3	6	2	2	4
28140000	2	5	3	5	2	4	4
28160000	2	5	4	5	2	2	4
28180000	2	6	3	5	2	2	4
28200000	3	5	3	6	2	2	4
28220000	2	5	4	5	2	2	4
28240000	3	6	3	5	2	2	5
28260000	2	5	3	5	2	2	4
28280000	2	5	3	5	2	2	3
28300000	2	4	4	5	2	2	5
28320000	2	5	3	5	2	2	5
28340000	2	5	4	5	2	2	5
28360000	2	5	3	8	2	2	4
28380000	2	6	3	5	2	2	4
28400000	2	5	4	5	3	2	5
28420000	2	6	3	5	2	2	5
28440000	2	5	4	5	3	2	5
28460000	2	5	4	5	2	2	5
28480000	2	4	3	5	2	2	5
28500000	2	5	3	5	2	2	4
28520000	2	6	3	5	2	2	4
28540000	2	5	3	5	3	2	4
28560000	3	5	3	5	2	2	4
28580000	2	5	3	6	2	2	5
28600000	2	6	3	5	2	2	4
28620000	2	6	3	7	2	2	4
28640000	2	5	3	5	2	2	4
28660000	2	7	3	6	2	2	5
28680000	2	6	3	5	2	2	4
28700000	2	7	3	5	2	2	4
28720000	3	5	3	5	2	2	5
28740000	2	5	3	5	2	2	5
28760000	3	5	3	5	2	2	3
28780000	3	5	3	7	2	2	3
28800000	2	5	3	5	2	2	4
28820000	3	5	3	5	2	2	4
28840000	2	5	3	5	2	2	5
28860000	2	5	3	5	2	2	5
28880000	2	5	3	5	2	2	3
28900000	2	5	4	8	2	2	5
28920000	2	6	3	5	2	2	5
28940000	2	6	4	5	2	2	5
28960000	2	8	3	5	2	2	4
28980000	2	5	3	6	2	2	5
29000000	2	6	3	5	2	2	4
29020000	2	5	3	5	2	2	4
29040000	2	6	3	5	2	2	4
29060000	2	6	5	5	2	2	3
29080000	3	5	3	5	2	2	5
29100000	3	5	4	5	2	2	4
29120000	2	5	3	7	2	2	5
29140000	2	5	3	5	2	2	7
29160000	2	5	3	6	2	2	4
29180000	3	5	4	5	2	2	6
29200000	2	5	3	5	2	2	5
29220000	2	5	3	5	2	2	4
29240000	2	5	3	5	2	2	4
29260000	2	5	3	5	2	2	4
29280000	2	5	4	5	2	2	4
29300000	2	4	4	5	2	4	3
29320000	2	9	3	5	2	2	7
29340000	3	6	3	5	2	2	4
29360000	2	6	3	5	2	2	4
29380000	2	6	3	5	2	2	4
29400000	2	5	3	5	2	2	4
29420000	3	6	4	6	3	2	4
29440000	2	6	3	5	2	2	4
29460000	2	6	5	7	2	2	4
29480000	3	5	4	5	2	2	4
29500000	2	5	3	5	2	2	6
29520000	2	5	3	5	2	2	4
29540000	2	5	4	5	2	2	3
29560000	2	5	4	5	2	2	5
29580000	2	5	3	6	2	2	4
29600000	2	5	3	5	2	2	4
29620000	2	4	3	5	2	2	5
29640000	2	5	3	5	2	2	5
29660000	2	5	3	6	2	2	5
29680000	2	5	3	5	2	2	5
29700000	2	5	4	7	2	2	6
29720000	3	5	4	6	2	2	5
29740000	3	5	3	5	2	2	4
29760000	2	5	3	5	2	2	4
29780000	3	5	3	7	2	2	4
29800000	2	6	3	5	2	2	3
29820000	2	5	3	5	2	2	3
29840000	2	6	3	5	2	2	5
29860000	2	6	3	5	2	2	5
29880000	2	5	4	5	2	2	4
29900000	3	5	4	5	2	2	4
29920000	2	6	4	6	2	2	5
29940000	2	5	3	5	2	2	5
29960000	2	5	3	5	3	2	4
29980000	2	5	4	5	2	2	6
30000000	2	4	3	5	2	2	6
30020000	2	6	3	5	2	2	5
30040000	2	5	4	5	2	2	4
30060000	2	4	4	5	2	2	4
30080000	2	5	3	5	2	2	5
30100000	2	5	3	5	2	2	6
30120000	3	6	3	5	2	2	5
30140000	2	5	3	5	2	2	4
30160000	2	5	3	5	2	2	4
30180000	3	5	3	5	2	2	4
30200000	2	5	3	5	2	2	5
30220000	2	6	3	5	3	2	4
30240000	2	5	4	5	2	2	3
30260000	2	5	3	5	2	2	3
30280000	2	4	3	5	2	2	4
30300000	2	5	3	5	2	2	4
30320000	2	5	3	5	2	2	4
30340000	3	5	4	5	2	2	4
30360000	2	7	4	6	2	2	4
30380000	3	5	4	5	2	2	5
30400000	2	5	3	5	3	2	3
30420000	2	5	4	5	2	2	3
30440000	2	5	3	6	2	2	4
30460000	2	5	4	5	2	2	4
30480000	2	5	3	5	2	2	4
30500000	2	5	3	7	2	2	6
30520000	2	5	3	5	2	2	4
30540000	2	4	3	5	2	2	4
30560000	2	5	3	5	2	2	5
