states	PB1	PB2	PA	HA	NP	NA	MP
23520000	6	3	4	6	5	2	1
23540000	5	3	8	6	5	2	1
23560000	5	3	6	6	5	2	1
23580000	7	3	7	6	5	2	1
23600000	7	4	8	6	5	2	1
23620000	6	3	6	6	4	2	1
23640000	6	3	8	8	7	2	1
23660000	6	3	4	7	5	2	2
23680000	7	3	5	5	6	2	2
23700000	5	3	6	7	5	2	2
23720000	8	3	6	5	5	2	2
23740000	5	3	6	5	5	2	2
23760000	5	3	5	5	5	2	2
23780000	5	3	7	6	5	2	2
23800000	7	3	6	6	5	2	2
23820000	6	3	6	7	3	2	2
23840000	6	3	4	6	4	2	1
23860000	5	3	4	6	5	2	2
23880000	5	3	4	6	6	3	2
23900000	5	3	5	7	5	2	2
23920000	5	3	4	7	4	2	1
23940000	8	3	4	8	4	3	1
23960000	7	3	4	6	4	2	1
23980000	5	3	6	7	5	2	3
24000000	5	3	6	6	5	3	2
24020000	5	3	6	6	5	2	2
24040000	7	3	5	8	5	2	2
24060000	5	3	5	6	5	2	2
24080000	5	3	5	8	6	2	2
24100000	5	3	5	7	5	2	2
24120000	5	3	4	7	6	2	2
24140000	5	3	6	5	5	2	2
24160000	6	3	5	6	5	2	2
24180000	5	3	4	6	5	2	2
24200000	5	4	5	5	5	2	2
24220000	5	3	4	5	5	2	2
24240000	6	3	6	6	5	2	2
24260000	5	3	6	5	5	2	2
24280000	5	3	6	5	5	2	2
24300000	5	3	6	5	5	2	2
24320000	6	3	5	7	5	2	2
24340000	6	3	5	11	7	2	1
24360000	6	3	7	7	7	2	1
24380000	7	3	6	6	4	2	1
24400000	8	3	6	7	5	2	1
24420000	5	3	6	7	4	2	2
24440000	7	3	5	6	5	2	1
24460000	5	3	4	6	5	2	1
24480000	5	3	6	7	5	2	1
24500000	6	3	5	7	4	3	1
24520000	7	3	4	7	4	2	1
24540000	5	3	4	6	4	2	1
24560000	5	3	10	6	5	2	2
24580000	5	3	6	7	6	2	2
24600000	10	3	4	7	4	2	1
24620000	5	3	6	6	4	2	1
24640000	5	3	7	6	4	2	1
24660000	5	3	5	5	5	2	2
24680000	5	3	5	5	6	2	3
24700000	5	3	4	6	5	2	2
24720000	5	3	6	6	5	2	2
24740000	5	3	5	6	5	2	2
24760000	6	3	6	7	5	2	2
24780000	5	3	4	6	5	2	2
24800000	5	3	6	7	5	2	2
24820000	5	3	4	7	5	2	2
24840000	5	3	4	6	5	2	2
24860000	5	3	4	5	7	2	2
24880000	5	3	6	6	6	2	2
24900000	5	3	6	5	5	2	2
24920000	5	3	6	6	4	2	3
24940000	6	3	5	6	5	3	2
24960000	5	3	5	5	5	2	2
24980000	5	3	5	7	5	2	2
25000000	6	3	5	5	5	2	2
25020000	6	3	5	8	6	2	2
25040000	7	3	5	7	6	2	2
25060000	6	3	5	7	4	2	1
25080000	7	3	5	7	3	2	1
25100000	5	3	6	8	4	2	1
25120000	5	3	7	6	5	2	1
25140000	5	3	6	6	4	2	1
25160000	6	3	7	7	4	2	1
25180000	5	3	7	6	4	2	1
25200000	5	3	5	7	4	2	1
25220000	5	3	8	8	4	2	1
25240000	5	3	6	9	4	2	1
25260000	5	3	4	8	6	2	1
25280000	5	3	4	7	6	2	1
25300000	5	3	4	6	4	2	1
25320000	5	3	5	6	4	2	2
25340000	5	3	5	6	5	2	1
25360000	5	3	6	6	4	2	1
25380000	6	3	4	6	5	2	2
25400000	7	3	5	5	7	2	2
25420000	5	3	5	7	6	2	3
25440000	6	3	5	6	7	2	4
25460000	6	3	5	7	6	2	4
25480000	5	3	4	6	4	2	2
25500000	5	3	5	6	5	2	2
25520000	6	3	5	5	5	2	2
25540000	8	3	5	6	7	2	2
25560000	5	3	5	5	5	2	2
25580000	5	3	8	6	5	2	3
25600000	5	3	6	6	6	2	2
25620000	5	3	6	6	4	2	1
25640000	6	3	5	8	5	3	1
25660000	6	3	4	6	4	2	1
25680000	6	3	5	7	6	2	1
25700000	6	3	4	6	5	3	1
25720000	5	3	4	6	4	2	1
25740000	5	3	7	6	4	2	1
25760000	5	3	6	6	6	2	1
25780000	5	3	4	7	4	2	1
25800000	6	3	4	8	4	2	1
25820000	5	3	5	7	4	2	2
25840000	6	3	4	6	4	2	1
25860000	5	3	5	7	4	2	1
25880000	5	3	4	7	4	3	1
25900000	8	3	6	7	4	2	1
25920000	5	3	4	6	5	2	1
25940000	6	3	4	6	4	2	1
25960000	9	3	5	6	4	2	1
25980000	8	3	6	7	4	2	1
26000000	7	3	4	8	4	2	1
26020000	6	4	4	7	4	2	1
26040000	8	3	6	6	5	2	1
26060000	9	3	4	6	5	2	1
26080000	8	3	5	6	4	2	1
26100000	8	3	6	7	4	2	1
26120000	6	3	5	6	4	4	1
26140000	5	3	6	6	4	2	1
26160000	6	3	5	6	4	2	1
26180000	5	3	6	7	4	2	1
26200000	5	3	6	7	4	2	1
26220000	5	4	5	7	5	3	2
26240000	5	3	5	7	5	2	2
26260000	6	3	6	6	5	2	2
26280000	6	3	6	7	5	2	1
26300000	6	3	6	6	4	2	1
26320000	5	3	6	7	5	2	1
26340000	5	3	6	6	4	2	1
26360000	7	3	6	7	4	2	1
26380000	5	3	9	8	4	2	1
26400000	5	3	4	7	3	2	1
26420000	5	3	3	7	3	2	1
26440000	5	3	3	6	4	3	1
26460000	5	3	4	6	4	2	2
26480000	5	3	4	7	4	2	1
26500000	5	3	4	7	4	2	1
26520000	5	3	4	7	4	2	1
26540000	6	3	4	8	5	2	1
26560000	5	3	9	7	5	2	1
26580000	5	3	7	8	5	2	1
26600000	5	3	5	6	3	2	1
26620000	5	3	5	7	3	2	1
26640000	5	3	4	7	4	2	1
26660000	6	3	4	6	4	2	1
26680000	6	3	6	7	4	2	1
26700000	5	3	4	7	5	2	1
26720000	5	3	7	6	4	2	1
26740000	5	3	4	6	5	2	2
26760000	5	3	6	6	6	2	2
26780000	5	3	4	6	5	2	2
26800000	6	3	5	7	6	2	4
26820000	5	3	5	6	5	2	2
26840000	7	3	5	6	5	2	2
26860000	6	4	5	6	5	2	2
26880000	5	3	5	5	5	2	2
26900000	5	3	5	5	5	2	2
26920000	7	3	6	6	5	2	3
