states	PB1	PB2	PA	HA	NP	MP	NS
20000000	4	2	4	6	6	3	5
20020000	4	3	5	5	9	3	5
20040000	4	2	5	6	7	3	6
20060000	4	2	6	6	7	3	5
20080000	4	2	5	6	7	3	5
20100000	4	2	4	6	6	4	5
20120000	4	2	4	6	7	3	5
20140000	4	2	5	5	7	3	5
20160000	4	2	4	6	6	3	5
20180000	4	2	5	5	6	3	5
20200000	4	4	5	6	5	3	5
20220000	4	2	5	5	7	3	9
20240000	4	2	5	5	7	3	5
20260000	5	2	5	5	7	4	5
20280000	4	2	5	6	7	3	7
20300000	4	2	5	5	6	3	5
20320000	4	2	7	6	7	3	5
20340000	4	2	5	5	8	3	5
20360000	4	2	5	5	7	3	6
20380000	4	2	5	5	7	3	5
20400000	4	3	5	6	7	3	5
20420000	4	2	6	5	6	3	5
20440000	4	2	5	5	5	3	5
20460000	4	2	5	5	7	3	7
20480000	4	2	5	6	7	3	6
20500000	4	2	5	6	6	3	5
20520000	4	2	5	5	6	3	5
20540000	4	2	5	5	6	3	6
20560000	4	2	8	5	7	3	5
20580000	4	2	4	6	6	3	5
20600000	4	2	4	6	6	3	6
20620000	4	2	5	6	7	3	5
20640000	4	2	5	5	6	3	6
20660000	4	2	5	5	10	3	5
20680000	4	2	4	5	8	3	5
20700000	4	2	5	6	6	3	5
20720000	4	2	5	5	6	3	6
20740000	4	2	5	6	5	3	7
20760000	4	2	5	5	5	3	5
20780000	4	2	5	5	5	3	5
20800000	4	4	7	5	6	3	6
20820000	4	2	5	5	5	3	5
20840000	4	2	5	6	6	3	5
20860000	4	2	5	6	5	3	6
20880000	4	2	5	6	5	3	6
20900000	4	2	5	5	5	3	5
20920000	4	2	5	6	7	3	5
20940000	4	2	5	5	6	3	6
20960000	4	2	5	5	6	3	5
20980000	4	2	5	6	6	3	5
21000000	4	2	5	5	8	3	5
21020000	4	2	4	6	7	6	6
21040000	4	2	5	5	8	3	5
21060000	4	2	9	5	8	3	5
21080000	4	2	5	6	9	3	6
21100000	4	2	5	5	7	3	5
21120000	4	2	5	6	7	3	6
21140000	4	2	5	6	9	3	6
21160000	4	4	4	5	9	3	6
21180000	4	2	5	5	7	3	5
21200000	4	2	5	6	6	3	6
21220000	4	2	5	5	7	3	5
21240000	4	2	5	6	6	3	5
21260000	4	2	6	5	6	3	5
21280000	4	2	5	6	6	3	5
21300000	4	2	5	5	5	3	5
21320000	4	2	5	5	7	3	5
21340000	4	2	5	6	5	5	5
21360000	4	2	5	6	6	3	5
21380000	4	2	6	6	6	3	5
21400000	4	2	5	5	6	3	6
21420000	4	2	5	5	7	3	7
21440000	4	2	5	7	7	4	5
21460000	4	2	5	5	6	3	5
21480000	4	2	4	7	7	3	6
21500000	4	2	5	6	7	3	5
21520000	4	2	5	5	6	3	5
21540000	4	2	6	5	6	3	6
21560000	4	2	4	5	7	3	5
21580000	4	2	5	5	6	3	5
21600000	4	2	4	5	7	3	5
21620000	4	2	5	4	7	5	6
21640000	4	3	5	6	7	3	5
21660000	4	2	8	6	7	3	5
21680000	4	2	5	5	6	3	6
21700000	4	2	4	4	7	3	6
21720000	4	2	9	6	5	3	6
21740000	4	2	5	6	5	3	5
21760000	4	2	6	5	7	3	5
21780000	5	2	5	5	6	3	5
21800000	4	2	5	6	7	3	6
21820000	4	2	5	5	8	3	7
21840000	4	2	5	6	6	3	6
