states	PB1	PB2	PA	HA	NP	NA	MP
20000000	7	3	6	6	5	2	2
20020000	5	3	4	7	7	2	2
20040000	6	3	5	6	5	2	2
20060000	6	3	7	7	6	2	2
20080000	6	3	5	7	7	2	2
20100000	6	3	5	6	5	2	2
20120000	5	3	5	6	5	2	2
20140000	7	3	5	5	5	2	2
20160000	5	3	5	6	5	2	2
20180000	5	3	4	5	4	2	2
20200000	6	3	5	5	5	2	2
20220000	5	3	4	7	5	2	2
20240000	6	3	5	6	5	2	2
20260000	6	3	5	5	5	2	2
20280000	5	3	5	8	6	2	2
20300000	5	3	5	8	5	2	2
20320000	6	3	5	6	6	2	2
20340000	6	3	5	5	6	2	2
20360000	5	3	6	6	5	2	2
20380000	5	3	6	6	4	2	1
20400000	5	3	5	6	5	2	2
20420000	7	3	4	5	5	2	2
20440000	5	3	5	5	6	2	2
20460000	5	3	4	6	5	2	2
20480000	5	3	5	5	5	2	2
20500000	6	3	6	7	5	2	1
20520000	6	3	7	6	4	2	1
20540000	7	4	7	7	4	2	1
20560000	7	3	5	11	5	2	1
20580000	7	3	4	7	4	2	1
20600000	7	3	4	7	4	2	1
20620000	5	3	6	7	5	2	1
20640000	6	3	4	6	4	2	1
20660000	8	3	7	7	4	2	1
20680000	6	3	7	7	4	2	1
20700000	5	3	7	7	5	2	1
20720000	5	3	8	8	5	2	1
20740000	7	3	6	7	5	2	1
20760000	5	3	6	8	4	2	2
20780000	8	3	7	8	4	2	1
20800000	6	3	9	7	4	2	1
20820000	7	3	4	7	5	2	1
20840000	5	3	4	7	4	2	1
20860000	6	3	4	7	4	2	1
20880000	5	3	4	7	5	2	1
20900000	6	3	4	8	4	2	1
20920000	5	3	5	8	5	3	1
20940000	7	3	4	8	5	2	1
20960000	6	3	4	6	4	2	1
20980000	6	3	4	7	4	2	1
21000000	7	3	4	7	4	2	1
21020000	7	3	4	7	5	2	1
21040000	5	3	4	6	5	2	1
21060000	5	3	6	8	4	2	1
21080000	6	3	4	7	4	2	1
21100000	5	3	4	7	4	3	1
21120000	5	3	4	7	4	2	1
21140000	5	3	5	8	5	2	1
21160000	5	3	4	6	7	2	3
21180000	5	3	4	6	5	3	2
21200000	6	3	4	7	7	3	2
21220000	6	3	6	7	5	2	2
21240000	5	3	5	6	5	2	1
21260000	5	3	4	7	4	2	1
21280000	5	4	6	6	4	2	1
21300000	7	3	4	7	5	2	2
21320000	5	3	5	8	5	2	1
21340000	7	3	4	6	4	2	1
21360000	7	3	6	6	4	2	1
21380000	5	3	4	7	4	2	1
21400000	6	3	7	7	6	2	1
21420000	7	3	6	8	4	2	1
21440000	6	3	6	6	4	2	1
21460000	8	3	5	7	4	4	1
21480000	5	3	6	6	3	2	1
21500000	5	3	7	7	4	3	1
21520000	5	3	5	7	5	2	1
21540000	5	3	6	7	4	2	1
21560000	5	3	5	7	4	2	1
21580000	6	3	7	6	5	3	1
21600000	5	3	8	6	5	2	1
21620000	6	3	7	8	4	2	1
21640000	5	3	6	6	5	2	2
21660000	6	3	5	5	5	2	2
21680000	5	3	5	5	5	2	2
21700000	6	3	6	7	7	2	2
21720000	5	3	5	5	5	2	3
21740000	6	3	5	5	6	2	2
21760000	5	3	5	6	5	2	2
21780000	6	3	5	5	7	2	2
21800000	5	3	5	6	5	2	2
21820000	5	3	5	7	5	2	2
21840000	5	3	4	7	4	2	1
21860000	8	3	6	6	6	2	2
21880000	5	3	4	6	5	2	2
21900000	5	3	6	7	4	3	1
21920000	6	3	5	6	4	2	1
21940000	6	3	6	6	4	2	1
21960000	5	3	6	7	5	3	1
21980000	5	3	4	9	5	2	1
22000000	5	3	4	7	4	2	2
22020000	6	3	8	6	4	2	1
22040000	6	3	7	7	4	2	1
22060000	6	3	6	8	4	3	1
22080000	5	3	6	6	4	2	1
22100000	6	3	7	6	5	2	2
22120000	7	3	7	7	6	2	2
22140000	5	3	7	5	5	2	2
22160000	6	3	6	6	6	2	2
22180000	6	3	6	7	6	2	2
22200000	8	3	6	6	5	2	2
22220000	5	3	6	5	4	2	2
22240000	7	3	8	6	5	2	2
22260000	5	3	6	5	5	2	2
22280000	6	3	6	8	6	2	2
22300000	5	3	6	6	5	2	2
22320000	5	3	5	6	5	2	2
22340000	6	3	5	7	5	2	2
22360000	5	3	4	8	5	2	2
22380000	7	3	8	7	5	2	2
22400000	5	3	6	6	4	2	1
