states	PB1	PB2	PA	HA	NP	NA	NS
20000000	4	4	3	5	3	3	10
20020000	4	3	8	5	3	2	9
20040000	4	4	4	5	3	3	9
20060000	4	4	6	5	3	2	10
20080000	5	4	4	5	3	2	9
20100000	4	4	3	6	3	3	8
20120000	4	4	4	5	3	3	10
20140000	4	4	3	5	4	2	9
20160000	4	4	4	5	3	3	8
20180000	4	4	4	5	3	3	9
20200000	4	3	4	5	3	2	9
20220000	4	4	4	5	4	3	10
20240000	4	4	4	5	3	4	8
20260000	5	4	3	5	3	2	10
20280000	4	3	3	5	3	3	9
20300000	4	4	4	4	4	2	10
20320000	4	4	5	5	3	3	8
20340000	4	4	4	5	3	3	8
20360000	5	4	4	5	3	3	11
20380000	4	3	4	5	4	2	11
20400000	4	4	3	5	4	2	9
20420000	4	4	3	5	3	2	9
20440000	5	4	3	5	3	2	11
20460000	4	4	7	5	3	3	10
20480000	4	4	3	5	3	2	8
20500000	4	3	3	4	4	3	9
20520000	4	4	2	6	3	2	8
20540000	4	4	3	4	3	2	8
20560000	4	3	4	5	5	5	10
20580000	4	3	3	5	8	2	9
20600000	4	3	4	5	6	4	8
20620000	4	3	3	5	5	3	9
20640000	4	4	3	5	4	3	8
20660000	4	4	3	6	5	2	8
20680000	5	5	3	5	4	2	8
20700000	4	4	3	5	3	2	8
20720000	4	3	4	5	3	2	9
20740000	4	5	2	5	4	3	10
20760000	4	4	2	4	4	3	12
20780000	4	4	4	5	4	3	10
20800000	4	4	3	5	4	4	10
20820000	5	4	3	5	3	3	13
20840000	4	5	3	5	4	3	12
20860000	5	6	2	5	4	3	10
20880000	4	4	3	5	4	2	9
20900000	5	4	2	5	4	2	9
20920000	5	4	2	5	4	3	9
20940000	4	4	5	5	4	3	9
20960000	4	4	4	4	7	2	8
20980000	4	4	4	4	4	2	8
21000000	4	4	2	5	6	4	9
21020000	5	4	2	5	6	3	9
21040000	5	4	4	5	4	2	9
21060000	4	4	3	5	5	2	10
21080000	4	5	2	4	3	3	9
21100000	4	4	2	4	3	3	10
21120000	4	3	2	5	4	2	9
21140000	4	4	2	6	3	3	9
21160000	4	4	2	4	4	4	9
21180000	4	4	5	5	4	3	9
21200000	4	4	4	5	4	2	9
21220000	5	4	3	5	3	2	11
21240000	4	4	3	5	5	3	9
21260000	4	4	5	4	5	2	9
21280000	4	4	5	4	4	2	9
21300000	4	4	3	5	5	2	9
21320000	4	5	3	5	5	4	9
21340000	4	4	2	5	6	2	8
21360000	4	4	4	4	5	2	9
21380000	5	3	2	5	4	2	8
21400000	4	3	7	5	5	2	8
21420000	4	3	4	5	4	3	10
21440000	4	3	5	4	3	2	9
21460000	4	4	2	4	4	2	9
21480000	4	4	3	5	4	2	9
21500000	5	4	2	4	5	2	10
21520000	4	4	3	5	4	3	8
21540000	4	4	2	4	4	3	9
21560000	4	4	2	4	4	2	9
21580000	4	4	4	5	5	2	10
21600000	4	3	4	4	6	2	8
21620000	4	4	2	4	3	3	10
21640000	4	4	2	4	3	2	8
21660000	4	3	2	5	4	3	8
21680000	4	3	3	5	4	2	11
21700000	4	4	3	5	4	2	8
21720000	4	4	4	5	5	2	9
21740000	4	4	3	5	3	2	8
21760000	4	3	5	5	3	2	8
21780000	6	4	2	5	3	3	11
21800000	5	3	2	5	4	3	10
21820000	4	4	2	4	4	3	10
21840000	4	4	3	5	5	2	11
21860000	6	4	2	5	4	3	10
21880000	4	4	3	5	3	2	9
21900000	6	4	3	5	4	3	10
21920000	4	4	2	5	4	3	10
21940000	8	4	3	5	4	3	9
21960000	5	4	2	6	4	3	11
21980000	4	4	3	5	3	2	9
22000000	4	4	2	5	5	3	8
22020000	4	4	3	4	5	2	9
22040000	5	4	2	5	5	3	9
22060000	6	4	3	8	4	2	8
22080000	4	4	3	5	4	3	8
22100000	5	4	3	6	4	3	9
22120000	4	5	2	4	4	2	10
22140000	5	5	2	5	6	4	9
22160000	4	4	2	5	4	2	9
22180000	5	4	4	5	4	2	10
22200000	4	5	2	5	4	2	10
22220000	4	4	2	5	7	4	9
22240000	4	3	2	4	4	3	9
22260000	4	5	2	4	5	2	8
22280000	5	4	2	4	3	2	10
22300000	4	4	2	5	4	2	10
22320000	5	4	2	5	5	2	10
22340000	4	4	3	5	4	2	10
22360000	4	4	3	5	3	2	9
22380000	4	4	6	5	6	2	9
22400000	4	4	3	4	4	2	11
22420000	5	4	2	4	4	2	9
22440000	4	4	3	5	4	3	9
22460000	4	4	2	4	4	2	9
22480000	4	5	2	4	4	2	8
22500000	4	4	2	4	7	2	9
22520000	4	4	3	5	3	2	10
22540000	4	4	5	5	5	3	10
22560000	4	4	3	5	4	2	8
22580000	4	4	3	5	3	3	8
22600000	4	4	3	5	4	3	11
22620000	5	4	3	5	4	3	10
22640000	5	3	2	5	4	3	9
22660000	6	3	2	5	4	3	8
22680000	4	4	2	6	7	3	10
22700000	5	4	3	5	5	2	9
22720000	4	4	4	5	4	3	8
22740000	4	4	3	5	4	2	8
22760000	6	4	2	5	4	3	10
22780000	4	4	4	5	4	2	13
22800000	4	4	3	5	4	3	10
22820000	4	4	3	5	4	2	10
22840000	4	4	3	5	3	2	9
22860000	4	4	3	5	6	2	9
22880000	5	3	4	6	4	2	9
22900000	4	5	3	5	4	2	9
22920000	5	4	3	5	4	2	8
22940000	4	4	3	5	4	2	10
22960000	4	3	2	5	3	2	9
22980000	4	4	5	5	6	2	8
23000000	4	4	2	5	5	3	8
23020000	4	4	6	5	6	2	8
23040000	4	4	3	5	4	2	9
23060000	6	4	3	5	3	3	9
23080000	4	4	3	6	3	2	10
23100000	4	4	3	6	4	2	9
23120000	4	4	2	5	4	2	8
23140000	4	3	4	5	6	2	9
23160000	4	5	3	5	4	3	10
23180000	4	4	4	5	4	3	9
23200000	4	4	5	5	3	2	8
23220000	4	3	5	5	7	2	9
23240000	4	3	2	5	4	2	9
23260000	4	5	5	4	4	2	8
23280000	5	4	4	5	4	2	9
23300000	4	4	2	5	4	2	9
23320000	4	4	3	5	3	2	9
23340000	4	5	3	5	3	2	9
23360000	4	4	2	5	3	3	9
23380000	4	4	3	5	3	2	9
23400000	4	4	3	5	3	2	9
23420000	6	4	4	5	3	2	11
23440000	4	4	2	4	8	2	9
23460000	4	4	3	5	3	2	9
23480000	4	4	3	5	5	2	9
23500000	4	4	2	5	4	3	9
23520000	4	4	2	4	4	4	8
23540000	5	4	4	5	4	2	8
23560000	4	4	2	4	4	3	9
23580000	4	4	3	5	4	2	9
23600000	5	4	6	5	4	2	9
23620000	4	3	4	5	4	2	8
23640000	4	4	2	5	6	3	8
23660000	4	4	2	4	7	2	10
23680000	4	4	5	5	4	2	9
23700000	4	4	4	5	4	2	9
23720000	5	6	2	4	4	3	9
23740000	4	5	3	5	3	3	8
23760000	4	4	5	5	3	3	9
23780000	4	5	3	5	4	3	9
23800000	5	4	3	6	3	4	8
23820000	4	4	4	5	4	3	10
23840000	4	4	3	6	3	2	8
23860000	5	4	2	5	4	3	10
23880000	4	4	2	4	4	3	8
23900000	4	4	2	5	3	3	9
23920000	4	4	3	5	5	3	9
23940000	5	4	2	4	5	3	9
23960000	4	4	2	5	5	3	10
23980000	6	4	3	5	4	3	9
24000000	5	4	3	5	5	3	9
24020000	4	4	3	5	5	3	9
24040000	5	3	3	5	4	2	9
24060000	4	4	4	4	3	2	10
24080000	4	4	3	5	5	3	10
24100000	5	5	3	4	3	4	10
24120000	6	4	4	4	4	3	9
24140000	5	4	2	5	7	3	9
24160000	5	4	3	5	3	3	9
24180000	4	4	3	5	3	4	10
