states	PB1	PB2	HA	NP	NA	MP	NS
20000000	5	2	2	7	2	2	6
20020000	6	4	2	6	2	2	6
20040000	5	2	2	6	2	2	7
20060000	6	2	3	6	2	2	6
20080000	6	3	2	5	3	2	6
20100000	5	2	3	6	2	2	5
20120000	5	2	3	5	2	2	5
20140000	5	2	3	5	2	2	6
20160000	6	2	3	5	2	2	7
20180000	5	4	2	6	2	2	6
20200000	5	2	3	7	2	2	5
20220000	5	2	2	5	4	2	5
20240000	5	2	3	7	2	2	9
20260000	6	2	3	7	2	2	8
20280000	5	2	2	6	3	2	7
20300000	5	2	4	8	2	3	6
20320000	5	2	2	5	2	2	7
20340000	6	2	2	5	3	2	5
20360000	5	2	2	5	2	2	6
20380000	5	3	2	7	2	2	8
20400000	6	2	2	5	2	2	5
20420000	6	2	2	5	2	2	6
20440000	5	2	2	8	2	2	9
20460000	6	2	2	7	2	2	7
20480000	5	2	2	5	2	2	6
20500000	5	2	3	5	2	2	5
20520000	5	2	3	9	3	2	6
20540000	5	3	3	5	2	2	6
20560000	5	2	3	5	3	2	8
20580000	5	2	3	6	2	2	5
20600000	5	2	2	5	2	2	5
20620000	6	2	2	6	2	2	6
20640000	5	2	3	6	2	2	6
20660000	6	2	2	5	2	2	6
20680000	5	2	2	6	3	2	9
20700000	5	2	3	5	3	3	8
20720000	5	2	4	6	2	2	6
20740000	5	3	3	7	2	2	7
20760000	5	2	3	6	2	2	10
20780000	6	2	2	5	2	2	7
20800000	5	2	2	5	2	2	5
20820000	6	2	3	6	2	2	5
20840000	5	2	2	7	2	2	7
20860000	6	4	3	6	4	2	6
20880000	7	6	4	5	3	3	7
20900000	5	2	2	5	2	3	5
20920000	5	2	2	5	2	2	7
20940000	5	2	4	7	2	2	9
20960000	5	2	2	6	2	2	10
20980000	5	2	2	5	2	3	8
21000000	5	3	2	5	2	2	7
21020000	6	3	2	5	2	2	8
21040000	5	2	3	7	2	3	6
21060000	5	3	3	6	2	2	7
21080000	5	3	2	5	3	2	7
21100000	5	2	2	5	3	2	7
21120000	5	3	3	6	2	2	8
21140000	5	2	3	5	2	3	6
21160000	6	2	3	5	2	2	5
21180000	5	2	2	5	2	2	7
21200000	6	3	2	6	3	2	9
21220000	6	2	2	5	2	2	6
21240000	5	2	2	6	2	2	8
21260000	5	2	2	6	2	2	6
21280000	5	2	3	5	2	2	8
21300000	5	2	3	5	2	2	8
21320000	5	2	2	6	2	2	6
21340000	5	4	2	5	2	2	7
21360000	5	2	3	5	2	2	9
21380000	5	3	3	5	2	2	6
21400000	6	2	2	6	2	2	6
21420000	6	2	2	5	3	2	6
21440000	7	2	4	5	2	2	7
21460000	5	2	3	5	2	2	6
21480000	5	2	3	5	2	2	7
21500000	5	2	2	5	2	2	5
21520000	5	3	2	5	2	2	5
21540000	5	3	2	5	2	2	6
