states	PB1	PB2	PA	HA	NA	MP	NS
20000000	6	4	3	7	5	0	8
20020000	6	4	4	7	6	0	9
20040000	6	5	3	7	3	0	8
20060000	7	8	3	7	5	0	10
20080000	6	4	4	6	4	0	7
20100000	7	7	5	7	4	0	7
20120000	6	4	3	7	4	0	6
20140000	6	4	4	7	5	0	7
20160000	6	4	4	7	4	0	9
20180000	5	4	4	7	4	0	7
20200000	6	4	4	7	4	0	7
20220000	7	4	4	7	4	0	8
20240000	6	4	6	7	4	0	6
20260000	6	4	5	7	4	0	8
20280000	5	4	3	8	4	0	7
20300000	6	4	4	7	5	0	8
20320000	6	4	3	7	4	0	7
20340000	6	4	6	6	4	0	6
20360000	6	4	6	7	4	0	8
20380000	6	4	4	7	4	0	8
20400000	6	4	3	7	4	0	6
20420000	6	8	6	7	4	0	8
20440000	6	5	4	6	4	1	7
20460000	6	5	3	7	6	0	7
20480000	6	4	4	8	4	0	6
20500000	6	4	3	7	4	0	8
20520000	6	4	6	7	4	0	7
20540000	6	7	6	7	4	0	7
20560000	6	3	4	8	3	0	7
20580000	6	4	4	8	4	0	7
20600000	6	5	4	7	5	0	7
20620000	6	4	5	7	5	0	8
20640000	6	4	4	7	5	0	8
20660000	6	4	4	7	4	0	7
20680000	6	5	5	7	5	2	8
20700000	6	4	9	7	4	0	6
20720000	6	4	8	7	4	0	8
20740000	6	4	6	7	4	0	6
20760000	6	4	5	8	4	1	7
20780000	6	4	4	9	4	1	6
20800000	6	4	5	8	4	1	6
20820000	6	5	4	7	6	1	6
20840000	6	6	4	7	5	1	6
20860000	8	4	4	7	5	0	6
20880000	6	5	4	8	4	0	7
20900000	6	4	6	7	4	0	7
20920000	6	4	4	7	5	0	8
20940000	6	4	4	7	4	0	7
20960000	6	4	4	7	4	0	8
20980000	6	7	4	7	4	0	7
21000000	6	4	4	7	4	0	7
21020000	7	4	6	9	3	0	7
21040000	6	4	4	7	4	0	9
21060000	6	4	4	7	4	0	7
21080000	6	4	4	7	4	0	7
21100000	7	4	4	8	4	0	8
21120000	7	4	8	7	4	0	8
21140000	5	4	3	7	4	0	7
21160000	6	4	3	7	4	0	7
21180000	6	4	5	7	4	0	9
21200000	6	4	3	7	4	0	7
21220000	6	3	3	8	4	0	6
21240000	6	4	4	7	4	0	7
21260000	6	4	4	7	4	0	8
21280000	7	9	3	6	5	0	8
21300000	6	4	4	7	4	0	7
21320000	6	4	3	8	4	0	9
21340000	7	4	3	7	5	0	8
21360000	7	4	5	7	4	0	8
21380000	6	4	5	7	4	0	6
21400000	7	4	3	6	4	0	7
21420000	5	5	4	7	5	0	7
21440000	7	4	6	7	4	0	7
21460000	6	4	4	8	4	0	7
21480000	6	4	4	7	4	0	8
21500000	7	4	3	7	4	0	7
21520000	6	4	4	7	5	0	7
21540000	6	4	5	8	4	0	7
21560000	6	5	3	6	4	0	7
21580000	7	7	5	7	4	0	7
21600000	7	4	5	7	4	0	8
21620000	6	5	3	7	4	0	7
21640000	6	4	3	7	4	0	6
21660000	6	4	4	6	4	0	8
21680000	6	4	4	7	4	0	7
21700000	6	4	4	7	4	0	7
21720000	6	4	4	6	5	0	6
21740000	6	4	5	7	5	0	7
21760000	6	4	3	7	4	0	7
21780000	6	4	5	8	5	0	7
21800000	6	4	5	8	5	0	6
21820000	6	4	6	8	6	0	7
21840000	6	4	4	7	4	0	6
21860000	6	4	8	7	4	0	6
21880000	6	4	6	8	4	0	9
21900000	6	4	4	9	4	0	6
21920000	6	4	4	7	5	0	7
21940000	6	4	5	7	3	0	7
21960000	6	3	4	7	3	2	8
21980000	6	4	4	7	7	0	7
22000000	6	4	6	7	4	0	6
22020000	6	3	3	7	3	0	7
22040000	5	4	5	7	4	0	7
22060000	6	4	3	7	5	0	7
22080000	6	4	4	7	4	0	9
22100000	6	4	4	7	4	0	8
22120000	6	4	4	8	5	0	8
22140000	6	4	4	7	5	0	7
22160000	6	4	4	8	4	0	7
22180000	6	5	3	7	4	0	8
22200000	6	4	4	7	5	0	7
22220000	6	4	4	7	4	0	7
22240000	6	4	4	7	4	1	7
22260000	6	6	3	7	4	0	6
22280000	7	5	3	7	4	0	7
22300000	6	4	5	6	4	0	7
22320000	7	4	4	7	5	0	7
22340000	6	4	5	7	5	0	7
22360000	6	4	4	6	4	0	7
22380000	5	4	7	7	4	0	7
22400000	8	4	4	8	4	0	7
22420000	5	4	4	7	6	0	7
22440000	6	4	4	7	4	0	6
22460000	5	4	5	7	5	0	9
22480000	6	4	4	8	4	0	9
22500000	6	4	4	7	4	0	7
22520000	6	4	3	6	4	0	7
22540000	6	4	3	7	4	0	6
22560000	6	4	5	7	4	0	8
22580000	6	4	4	8	4	0	7
22600000	6	4	4	7	5	0	7
22620000	6	4	4	7	4	0	8
22640000	6	4	7	7	4	0	7
22660000	6	4	4	7	3	0	7
22680000	6	3	4	7	3	0	5
22700000	6	4	4	7	3	0	6
22720000	6	3	7	7	4	0	7
22740000	6	4	6	7	4	0	7
22760000	5	4	4	7	5	0	6
22780000	6	4	4	7	4	0	7
22800000	6	4	4	7	4	0	7
22820000	6	4	3	7	5	0	7
22840000	7	4	4	7	4	0	8
22860000	5	4	4	7	5	0	7
22880000	6	4	3	6	4	0	7
22900000	5	4	4	7	5	0	6
22920000	5	4	3	7	4	0	8
22940000	7	4	3	7	5	0	8
22960000	6	4	4	7	5	0	8
22980000	7	6	4	7	4	0	6
23000000	6	4	4	7	4	0	7
23020000	5	4	6	7	4	0	7
23040000	6	4	6	7	5	0	8
23060000	5	4	4	7	5	0	7
23080000	6	4	3	7	4	0	8
23100000	6	4	4	7	4	0	7
23120000	6	6	4	7	4	0	6
23140000	6	5	6	7	3	0	8
23160000	7	3	3	8	3	0	7
23180000	6	4	3	7	4	0	7
23200000	6	4	4	7	4	0	7
23220000	6	4	4	7	4	0	7
23240000	5	4	6	7	5	0	8
23260000	6	4	6	7	5	0	7
23280000	5	4	4	7	4	0	8
23300000	6	4	3	7	4	0	8
23320000	5	4	4	7	4	0	7
23340000	5	4	4	7	4	0	7
23360000	6	3	7	7	3	0	7
23380000	6	3	7	8	3	0	6
23400000	6	3	4	7	3	1	7
23420000	6	4	3	7	4	1	7
23440000	6	4	5	7	4	0	6
23460000	7	4	3	7	4	0	8
23480000	6	4	3	6	4	0	6
23500000	6	5	4	7	4	0	6
23520000	5	4	3	7	4	0	6
23540000	6	4	4	8	4	0	8
23560000	6	4	4	7	5	0	6
23580000	6	4	3	6	5	0	7
23600000	6	4	3	7	4	0	7
23620000	6	4	5	6	4	0	7
23640000	6	4	3	7	4	0	8
23660000	7	5	4	7	4	0	7
23680000	6	4	4	8	5	0	7
23700000	7	4	4	7	4	0	8
23720000	7	4	6	7	4	0	7
23740000	6	4	4	7	4	0	8
23760000	6	4	6	7	4	0	7
23780000	7	4	4	7	6	0	8
23800000	9	4	4	7	4	0	6
23820000	7	4	4	6	4	0	7
23840000	6	5	3	6	4	0	8
23860000	6	4	4	7	4	0	7
23880000	6	4	5	7	5	0	6
23900000	6	4	4	8	5	0	7
23920000	5	4	4	7	4	0	7
23940000	6	4	4	7	4	0	6
23960000	6	4	4	7	4	0	8
23980000	6	4	3	7	4	0	8
24000000	6	4	6	8	4	0	8
24020000	5	4	4	7	5	0	8
24040000	6	4	3	7	4	0	8
24060000	6	4	3	6	4	0	6
24080000	6	3	4	7	3	0	8
24100000	6	4	4	7	4	0	6
24120000	6	4	6	7	4	0	7
24140000	6	6	4	6	4	0	7
24160000	6	4	4	7	4	0	7
24180000	6	4	3	7	4	0	6
24200000	5	4	3	6	4	0	6
24220000	6	4	4	7	4	0	7
24240000	6	4	4	7	4	0	8
24260000	6	4	4	7	4	0	7
24280000	7	4	4	6	4	0	8
24300000	5	3	7	7	3	0	6
24320000	6	4	3	7	4	0	7
24340000	6	4	3	7	4	0	7
24360000	7	6	6	8	4	0	8
24380000	6	4	4	8	5	0	7
24400000	6	4	4	7	4	0	6
24420000	6	8	6	7	4	0	7
24440000	6	4	5	6	4	0	9
24460000	6	4	3	8	4	0	7
24480000	6	6	3	7	4	0	6
24500000	6	4	4	7	4	0	6
24520000	6	4	5	7	5	0	7
24540000	7	4	4	7	5	0	8
24560000	6	4	4	7	4	0	8
24580000	6	4	6	7	4	0	7
24600000	9	4	3	7	4	0	7
24620000	7	4	3	7	4	0	8
24640000	5	5	4	7	4	0	7
24660000	6	5	6	8	4	1	8
24680000	6	4	3	8	4	0	7
24700000	6	4	4	8	5	0	8
24720000	6	4	3	7	4	0	7
24740000	6	6	3	8	4	0	7
24760000	7	6	5	7	4	1	8
24780000	6	7	7	7	5	0	7
24800000	6	4	4	7	6	0	7
24820000	6	4	5	8	5	0	7
24840000	6	4	5	7	4	0	7
24860000	6	3	5	7	3	1	6
24880000	6	4	5	6	4	0	7
24900000	6	6	5	7	6	0	6
24920000	6	4	4	7	4	0	6
24940000	6	4	4	7	4	0	7
24960000	6	4	4	6	5	0	6
24980000	7	5	4	7	4	0	7
25000000	6	4	6	8	4	0	6
25020000	6	4	5	8	4	0	8
25040000	6	5	6	6	4	0	6
25060000	6	4	3	7	4	0	9
25080000	6	4	4	7	4	0	9
25100000	6	4	6	7	4	0	7
25120000	6	4	5	7	4	0	8
25140000	6	4	3	7	4	0	7
25160000	6	4	4	7	4	0	8
25180000	6	4	3	7	5	0	9
25200000	5	4	3	7	4	0	7
25220000	6	5	4	8	4	0	7
25240000	5	4	4	7	4	0	7
25260000	6	3	5	7	3	0	7
25280000	6	4	4	7	4	0	7
25300000	6	4	4	7	4	0	7
25320000	6	4	4	7	4	0	6
25340000	6	4	5	7	4	0	7
25360000	6	4	5	7	4	0	7
25380000	8	4	6	7	4	0	8
25400000	6	4	4	7	4	0	7
25420000	6	4	4	7	5	0	7
25440000	6	4	4	7	4	0	7
25460000	6	4	4	7	4	0	8
25480000	6	4	4	8	4	0	7
25500000	6	4	6	8	4	0	6
25520000	7	3	3	6	3	1	7
25540000	6	4	4	8	3	0	7
25560000	6	4	6	7	4	0	7
25580000	6	4	6	7	4	0	7
25600000	6	4	3	7	5	0	8
25620000	6	4	7	7	4	0	7
25640000	7	7	4	7	4	0	7
25660000	6	4	4	7	4	0	7
25680000	7	4	3	7	4	0	8
25700000	6	5	4	7	5	0	6
25720000	6	4	4	7	6	0	6
25740000	7	5	4	7	5	0	7
25760000	5	4	4	7	4	0	8
25780000	6	4	3	6	4	0	6
25800000	6	4	3	7	4	0	7
25820000	6	4	4	7	5	0	6
25840000	9	4	4	7	4	0	7
25860000	6	4	3	7	4	0	8
25880000	8	4	4	8	5	0	8
25900000	6	5	4	7	6	0	7
25920000	5	4	4	7	4	0	6
25940000	6	4	5	7	6	0	7
25960000	6	4	4	8	4	0	7
25980000	7	4	4	7	4	0	8
26000000	6	4	4	7	5	0	7
26020000	6	4	4	7	4	0	6
26040000	5	7	5	8	4	0	6
26060000	7	6	3	8	4	0	8
26080000	6	4	4	7	4	0	7
26100000	6	4	8	7	4	0	7
26120000	6	4	5	7	4	0	7
26140000	6	5	3	6	4	0	6
26160000	6	4	4	7	5	0	8
26180000	6	4	4	7	4	0	8
26200000	6	4	4	7	4	0	8
26220000	6	4	3	7	4	0	6
26240000	6	5	4	7	6	0	6
26260000	6	4	7	7	5	0	7
26280000	6	4	3	6	4	0	8
26300000	6	4	3	7	4	0	8
26320000	6	5	3	7	4	0	7
26340000	6	4	4	7	4	0	8
26360000	6	4	3	7	4	0	8
26380000	6	4	4	7	4	0	7
26400000	6	4	4	7	5	0	6
26420000	5	4	5	7	4	0	6
26440000	5	4	4	7	4	0	6
26460000	6	4	4	7	4	0	8
26480000	6	4	3	7	5	0	8
26500000	5	4	4	7	4	0	7
26520000	7	4	4	8	4	0	7
26540000	6	4	5	7	4	0	7
26560000	6	4	4	8	4	0	7
26580000	7	4	4	7	4	0	8
26600000	6	4	4	7	4	0	7
26620000	6	4	4	7	4	0	8
26640000	6	4	4	7	4	0	7
26660000	6	4	6	7	4	0	6
26680000	6	4	4	7	4	1	9
26700000	6	4	5	8	4	0	8
26720000	6	4	4	7	5	0	8
26740000	10	4	3	7	4	0	7
26760000	7	4	6	7	4	0	6
26780000	5	4	3	6	4	0	7
26800000	6	4	4	7	4	0	8
26820000	6	4	7	7	4	0	7
26840000	6	4	4	7	5	1	7
26860000	7	4	4	7	4	0	8
26880000	6	5	5	7	4	0	7
26900000	5	4	4	7	4	0	7
26920000	6	4	4	7	5	0	7
26940000	6	4	4	8	4	0	6
26960000	6	4	4	7	5	0	7
26980000	6	4	6	7	4	0	6
27000000	6	4	3	6	3	1	8
27020000	6	4	6	7	4	0	7
27040000	6	4	4	7	4	0	7
27060000	6	4	5	7	4	0	7
27080000	6	4	4	8	4	0	7
27100000	6	5	4	7	4	0	7
27120000	5	4	4	7	4	0	7
27140000	6	4	4	7	4	0	6
27160000	6	4	4	7	4	0	8
27180000	7	4	4	7	4	0	6
27200000	6	4	4	7	7	0	7
27220000	6	4	5	7	4	0	6
27240000	6	4	3	6	4	0	7
27260000	6	4	3	7	5	0	7
27280000	6	4	4	7	5	0	8
27300000	7	7	4	7	4	0	7
27320000	6	5	4	7	4	0	6
27340000	7	4	4	7	4	0	7
27360000	6	4	6	7	4	0	7
27380000	6	4	4	7	4	0	7
27400000	7	4	4	8	4	0	6
27420000	5	4	4	7	4	0	7
27440000	6	4	4	7	4	0	7
27460000	6	4	4	7	6	0	8
27480000	6	4	4	7	4	0	7
27500000	6	4	5	8	5	0	6
27520000	6	4	6	7	4	0	6
27540000	5	4	4	7	4	0	6
27560000	6	4	3	7	4	0	7
27580000	7	4	4	7	4	0	7
27600000	8	4	4	7	4	0	7
27620000	6	4	4	7	5	0	7
27640000	5	4	3	6	5	0	6
27660000	6	4	4	7	4	0	7
27680000	6	4	4	9	4	0	6
27700000	6	4	4	7	4	0	7
27720000	6	4	4	7	4	0	7
27740000	6	4	4	7	4	0	7
27760000	5	5	4	7	4	0	7
27780000	5	4	5	7	4	0	6
27800000	7	3	6	8	3	0	5
27820000	6	4	5	7	4	0	7
27840000	6	4	4	7	5	0	6
27860000	6	4	3	7	4	0	7
27880000	6	4	4	7	4	0	7
27900000	6	4	4	6	5	0	10
27920000	6	4	5	7	4	0	6
27940000	6	4	5	7	4	0	6
27960000	6	4	4	7	4	0	7
27980000	6	4	3	7	4	0	11
28000000	6	6	3	6	5	0	7
28020000	6	4	4	7	4	0	6
28040000	6	4	4	7	4	0	6
28060000	6	4	5	7	4	0	7
28080000	8	4	4	7	4	0	9
28100000	6	4	4	8	4	0	7
28120000	6	4	3	6	4	0	8
28140000	7	4	4	7	4	0	7
28160000	8	4	5	7	4	0	8
28180000	6	4	3	7	4	0	6
28200000	6	4	4	7	4	0	6
28220000	5	4	4	6	4	0	8
28240000	6	5	6	7	4	0	6
28260000	6	4	3	7	4	0	6
28280000	5	4	4	7	4	0	7
28300000	6	4	4	7	6	0	9
28320000	5	4	4	7	4	0	8
28340000	6	4	4	7	5	0	7
28360000	5	4	4	7	4	0	6
28380000	8	4	4	7	4	0	7
28400000	6	4	3	7	5	0	7
28420000	6	4	4	7	4	0	7
28440000	6	4	4	6	4	0	7
28460000	7	4	4	7	4	0	7
28480000	6	4	4	7	5	0	7
28500000	6	4	4	7	4	0	7
28520000	7	4	4	7	4	0	8
28540000	6	4	3	8	4	0	7
28560000	7	4	8	8	4	0	8
28580000	7	5	6	7	5	0	10
28600000	6	4	3	7	5	0	8
28620000	6	4	4	7	4	0	7
28640000	6	4	4	7	3	0	7
