states	PB1	PB2	PA	HA	NP	NA	NS
23520000	4	4	2	5	4	3	9
23540000	4	4	3	5	4	2	9
23560000	4	4	3	5	3	2	10
23580000	4	4	3	5	3	2	9
23600000	4	5	2	5	3	2	10
23620000	5	3	2	4	4	3	8
23640000	4	4	2	5	5	2	8
23660000	6	3	2	5	5	2	8
23680000	4	4	2	4	5	2	9
23700000	5	4	4	4	5	2	8
23720000	6	4	2	5	5	2	9
23740000	4	5	2	5	3	2	8
23760000	5	3	3	5	3	2	12
23780000	5	5	2	5	5	2	8
23800000	4	6	2	4	4	2	9
23820000	4	4	2	5	4	2	9
23840000	4	4	3	5	3	2	9
23860000	4	3	8	5	3	2	9
23880000	4	3	6	5	4	2	10
23900000	4	5	8	5	3	2	9
23920000	4	3	6	5	3	2	9
23940000	4	4	6	5	3	3	9
23960000	4	4	4	5	3	3	9
23980000	4	4	3	5	3	3	8
24000000	5	4	4	5	5	2	8
24020000	5	4	3	5	3	2	9
24040000	5	4	5	5	3	2	9
24060000	6	4	5	6	4	3	10
24080000	4	5	4	5	5	2	9
24100000	5	4	3	5	5	3	9
24120000	4	3	5	5	3	2	9
24140000	4	3	3	5	3	2	11
24160000	4	4	4	5	3	3	11
24180000	4	4	4	5	3	2	9
24200000	5	3	3	5	4	2	9
24220000	5	4	3	5	3	2	8
24240000	4	4	3	5	3	3	9
24260000	4	4	3	5	3	2	9
24280000	4	3	3	5	5	2	9
24300000	4	4	3	5	3	3	9
24320000	4	5	3	5	3	3	9
24340000	4	4	6	5	3	2	11
24360000	4	4	3	5	3	2	9
24380000	5	4	3	6	3	3	8
24400000	5	4	3	5	6	2	8
24420000	4	4	4	5	3	2	9
24440000	4	4	3	7	3	2	8
24460000	5	4	4	5	3	3	10
24480000	4	5	4	7	3	3	9
24500000	4	4	3	5	3	3	10
24520000	5	5	5	5	3	3	10
24540000	5	4	3	5	3	3	10
24560000	4	4	3	5	3	3	12
24580000	4	4	3	6	3	3	9
24600000	4	3	3	5	3	2	10
24620000	4	3	8	4	3	2	10
24640000	4	4	3	5	4	2	11
24660000	4	4	6	5	3	2	13
24680000	4	4	3	5	3	2	13
24700000	4	4	2	5	5	4	12
24720000	4	4	3	5	3	3	9
24740000	4	4	3	5	3	2	10
24760000	4	4	2	5	3	3	9
24780000	4	4	2	4	3	3	10
24800000	4	5	3	5	3	2	10
24820000	4	4	5	5	3	2	10
24840000	4	4	6	5	3	2	9
24860000	4	4	4	5	3	3	9
24880000	4	3	3	5	3	2	8
24900000	4	4	4	5	3	3	8
24920000	4	4	4	5	3	3	9
24940000	4	4	3	5	3	4	8
24960000	4	3	6	5	3	2	10
24980000	4	3	3	5	3	2	9
25000000	4	3	4	5	3	2	10
25020000	5	4	5	5	3	2	9
25040000	4	4	3	5	3	2	9
25060000	4	4	4	5	5	2	9
25080000	4	3	2	4	3	2	9
25100000	4	4	3	5	3	3	9
25120000	4	4	3	5	4	4	9
25140000	6	3	3	5	5	2	8
25160000	4	4	5	5	11	3	9
25180000	5	3	3	5	4	2	11
25200000	4	4	6	5	4	2	9
25220000	4	4	3	5	4	2	9
25240000	4	4	4	5	4	2	12
25260000	4	4	2	5	4	3	10
25280000	6	3	2	6	7	3	10
25300000	6	3	2	5	4	2	12
25320000	5	4	2	5	4	2	10
25340000	6	3	2	5	4	2	9
25360000	4	4	3	5	7	2	9
25380000	5	4	2	5	4	2	9
25400000	4	4	3	4	6	2	8
25420000	4	5	5	5	4	2	9
25440000	4	4	3	6	4	2	8
25460000	4	4	2	4	3	2	10
25480000	4	4	3	5	3	2	11
25500000	4	5	2	5	4	3	9
25520000	4	3	3	5	5	2	12
25540000	5	3	4	5	4	3	9
25560000	4	4	3	5	4	2	11
25580000	4	3	8	6	5	2	10
25600000	4	4	2	4	3	2	9
25620000	5	4	2	4	3	2	10
25640000	4	4	2	5	3	2	9
25660000	4	4	3	5	3	2	10
25680000	4	4	5	5	3	4	9
25700000	4	5	3	5	4	2	9
25720000	4	4	2	5	4	2	9
25740000	4	4	5	5	6	2	9
25760000	4	4	6	5	4	2	11
25780000	5	3	5	5	4	2	9
25800000	5	4	2	5	4	2	9
25820000	5	4	3	5	5	2	9
25840000	4	4	3	5	4	2	9
25860000	6	3	2	6	4	2	8
25880000	4	4	2	5	4	2	8
25900000	4	4	2	6	4	3	10
25920000	5	4	2	4	4	3	11
25940000	5	4	2	5	5	3	11
25960000	5	4	2	5	4	3	10
