states	PB1	PB2	PA	HA	NA	MP	NS
20000000	6	4	7	7	4	0	7
20020000	6	4	3	6	4	0	6
20040000	6	4	5	7	5	0	8
20060000	6	4	4	7	5	0	7
20080000	6	4	4	7	4	0	7
20100000	6	4	4	7	4	0	7
20120000	7	4	5	8	4	0	7
20140000	7	4	3	6	4	0	8
20160000	6	4	5	8	5	0	8
20180000	6	4	5	7	5	0	7
20200000	6	4	3	7	4	0	8
20220000	5	4	4	8	4	0	7
20240000	6	4	4	6	4	0	8
20260000	6	4	6	7	4	0	7
20280000	6	4	3	6	4	0	7
20300000	5	4	4	8	4	0	7
20320000	5	5	4	7	4	0	7
20340000	6	4	3	6	4	0	8
20360000	7	4	3	8	5	0	8
20380000	6	4	4	7	4	0	7
20400000	7	5	3	7	4	0	8
20420000	5	4	4	8	4	0	8
20440000	6	3	4	7	3	0	8
20460000	6	4	3	7	4	0	6
20480000	5	5	4	7	5	0	7
20500000	7	4	3	7	5	0	8
20520000	6	4	4	7	4	0	7
20540000	6	4	4	7	5	0	6
20560000	6	4	4	8	4	0	7
20580000	6	4	5	7	4	0	7
20600000	6	4	4	7	4	0	7
20620000	5	4	4	7	4	0	8
20640000	9	4	3	7	4	0	6
20660000	6	4	4	7	5	0	6
20680000	6	5	3	9	4	0	7
20700000	6	4	3	7	5	0	7
20720000	6	6	5	7	4	0	7
20740000	6	4	4	7	4	0	7
20760000	6	4	4	7	4	0	7
20780000	6	4	5	7	5	0	7
20800000	6	4	4	7	5	0	7
20820000	6	4	3	7	5	0	7
20840000	5	4	4	7	5	0	6
20860000	6	5	3	6	4	0	7
20880000	6	4	4	7	4	0	7
20900000	5	4	6	7	5	0	7
20920000	6	4	4	7	5	0	7
20940000	5	5	4	7	4	0	8
20960000	6	4	4	7	4	0	8
20980000	5	4	3	7	5	0	7
21000000	6	4	4	7	4	0	8
21020000	5	4	4	8	5	0	7
21040000	5	4	4	9	5	0	7
21060000	6	4	4	7	5	0	6
21080000	6	4	4	7	4	0	7
21100000	6	4	4	7	4	0	7
21120000	7	4	7	7	4	0	7
21140000	6	4	4	6	5	0	6
21160000	6	4	4	7	4	0	8
21180000	8	5	3	7	4	0	6
21200000	6	4	3	6	4	0	7
21220000	6	4	5	7	4	0	6
