states	PB1	PB2	HA	NP	NA	MP	NS
20000000	5	2	2	7	2	2	7
20020000	6	2	2	5	2	2	6
20040000	5	2	2	5	2	3	7
20060000	5	3	2	5	2	2	7
20080000	5	2	2	5	2	2	6
20100000	5	2	3	5	3	2	5
20120000	6	2	3	5	2	2	8
20140000	5	3	3	5	2	2	5
20160000	6	2	2	5	3	2	6
20180000	6	3	2	5	3	2	5
20200000	5	3	4	8	2	2	7
20220000	5	3	2	5	2	2	6
20240000	5	3	2	6	3	2	8
20260000	5	5	3	6	2	2	8
20280000	5	2	3	5	2	2	10
20300000	7	2	4	5	3	2	11
20320000	6	2	3	5	2	2	8
20340000	5	2	3	9	3	2	6
20360000	5	2	2	9	2	2	5
20380000	7	2	2	8	2	2	6
20400000	5	2	2	5	2	2	7
20420000	6	2	3	6	2	2	6
20440000	5	3	2	5	2	2	5
20460000	6	2	2	6	3	2	5
20480000	5	2	2	6	2	2	6
20500000	5	2	3	6	3	2	6
20520000	5	2	3	6	2	2	6
20540000	6	2	4	6	3	2	7
20560000	7	3	2	6	2	2	6
20580000	5	2	4	7	3	2	5
20600000	7	2	3	6	2	2	7
20620000	5	2	2	6	2	2	7
20640000	9	3	2	5	2	2	6
20660000	5	2	2	8	2	2	7
20680000	5	2	4	9	2	2	6
20700000	5	2	3	5	3	2	5
20720000	6	3	4	6	2	2	5
20740000	7	2	3	6	2	3	7
20760000	6	2	4	6	3	2	7
20780000	5	2	3	6	2	2	6
20800000	5	2	2	5	2	2	7
20820000	6	2	2	5	2	2	8
20840000	5	2	2	7	2	2	7
20860000	5	2	2	5	2	2	8
20880000	5	3	2	6	2	2	6
20900000	5	2	2	5	2	2	5
20920000	5	2	2	5	2	2	9
20940000	5	2	2	5	3	2	6
20960000	5	2	2	6	3	2	10
20980000	5	2	2	5	2	3	7
21000000	5	2	2	7	2	2	7
21020000	5	2	2	7	2	2	8
21040000	5	2	3	6	2	2	8
21060000	6	2	2	5	2	3	8
21080000	5	2	3	5	2	2	6
21100000	7	3	4	9	2	2	7
21120000	6	2	2	6	2	2	10
21140000	5	2	2	7	2	2	7
21160000	7	2	2	6	3	2	6
21180000	5	2	2	7	2	2	6
21200000	5	2	2	8	2	2	7
21220000	5	2	2	6	3	2	8
21240000	5	2	2	6	2	2	9
21260000	5	2	2	8	2	3	6
21280000	5	3	3	6	4	2	6
21300000	5	2	2	7	2	2	7
21320000	7	2	2	5	3	2	9
21340000	5	2	2	6	3	2	8
21360000	6	2	2	6	3	2	9
21380000	6	3	2	5	2	2	6
21400000	6	2	3	5	2	2	7
21420000	5	5	2	6	2	2	7
21440000	6	2	4	7	3	2	6
21460000	5	3	3	5	2	2	7
21480000	6	2	2	6	2	2	8
21500000	5	2	3	7	2	2	6
21520000	5	2	2	5	3	2	5
21540000	5	2	3	6	2	2	6
21560000	5	2	2	5	2	2	6
21580000	5	3	2	6	2	2	10
21600000	5	3	2	5	3	2	7
21620000	5	2	2	6	2	2	6
21640000	5	4	2	7	3	2	8
21660000	5	2	2	5	2	2	7
21680000	6	2	2	5	2	2	7
21700000	5	2	3	5	2	2	7
21720000	6	3	2	6	2	2	6
21740000	7	3	4	6	2	2	10
21760000	5	2	3	7	2	2	8
21780000	5	3	2	6	2	2	5
21800000	5	2	2	5	2	2	6
21820000	5	2	2	7	2	2	9
21840000	5	2	2	6	2	2	6
21860000	5	2	3	6	2	2	6
21880000	5	2	3	6	3	2	8
21900000	6	2	3	7	3	2	7
21920000	5	3	2	6	2	2	6
21940000	6	2	2	5	2	3	8
21960000	5	2	2	5	4	2	9
21980000	5	3	2	5	2	2	7
22000000	6	2	3	5	2	2	6
22020000	6	4	2	6	2	2	8
22040000	5	2	2	5	2	2	6
22060000	5	2	2	5	2	2	6
22080000	5	3	2	5	3	3	5
22100000	5	4	2	5	2	2	11
22120000	5	2	2	6	3	2	6
22140000	5	2	2	6	2	2	5
22160000	5	3	2	6	2	2	6
22180000	6	3	2	5	3	2	8
22200000	5	2	3	6	2	2	7
22220000	5	2	2	6	3	2	6
22240000	6	2	2	5	2	2	6
22260000	5	2	2	7	2	2	7
22280000	5	2	2	6	2	2	8
22300000	6	2	2	7	2	2	7
22320000	5	2	2	8	3	2	6
22340000	5	2	2	7	2	2	7
22360000	5	2	2	5	2	2	7
22380000	6	2	4	7	2	2	8
22400000	5	2	2	5	2	2	8
22420000	6	2	4	5	3	2	7
22440000	5	2	2	6	4	2	6
22460000	6	2	3	7	2	2	5
22480000	5	2	3	5	2	3	8
22500000	5	2	2	5	2	2	7
22520000	6	3	3	6	4	2	7
22540000	6	2	2	5	3	2	9
22560000	5	2	3	5	2	2	5
22580000	5	2	2	6	3	2	5
22600000	5	2	3	6	2	2	5
22620000	6	2	3	5	2	2	8
22640000	6	3	2	6	2	2	7
22660000	5	3	3	5	2	2	7
22680000	7	3	2	5	2	2	7
22700000	6	4	2	5	3	2	7
22720000	5	3	2	5	2	2	11
22740000	6	2	2	5	2	2	5
22760000	5	2	2	5	2	2	7
22780000	5	2	3	6	2	2	7
22800000	5	2	3	5	2	2	6
22820000	5	2	2	5	2	3	7
22840000	5	3	2	8	2	2	6
22860000	5	4	2	5	2	2	6
22880000	5	3	3	6	2	2	6
22900000	5	2	2	5	2	2	7
22920000	7	2	3	6	2	2	8
22940000	5	2	2	5	3	2	6
22960000	5	2	2	5	2	2	7
22980000	5	2	3	5	2	2	5
23000000	5	3	2	6	2	3	5
23020000	5	2	3	5	2	2	6
23040000	5	2	2	6	2	2	6
23060000	7	2	2	7	2	2	6
23080000	6	3	2	5	2	2	6
23100000	5	2	3	6	3	2	5
23120000	5	2	2	6	2	2	7
23140000	6	2	3	6	2	2	6
23160000	5	3	3	6	2	2	7
23180000	5	2	2	7	2	2	8
23200000	5	3	3	5	2	2	7
23220000	5	2	3	5	2	2	8
23240000	5	2	2	5	2	2	5
23260000	5	2	2	5	2	2	5
23280000	6	2	2	5	2	2	5
23300000	5	2	3	5	2	2	8
23320000	5	2	3	5	2	2	5
23340000	5	2	2	5	2	2	5
23360000	5	2	4	5	2	2	9
23380000	5	3	3	6	3	2	7
23400000	7	3	2	5	3	3	8
23420000	5	2	2	6	2	2	7
23440000	5	3	2	6	2	2	7
23460000	5	2	3	5	2	2	5
23480000	5	2	2	5	2	2	5
23500000	5	2	2	6	2	2	7
23520000	6	2	3	6	3	2	8
23540000	6	2	3	5	2	2	5
23560000	5	4	2	6	3	2	6
23580000	5	2	2	5	4	2	6
23600000	5	3	2	5	3	2	7
23620000	5	2	2	5	2	2	6
23640000	5	3	2	5	2	2	7
23660000	5	2	2	6	2	2	6
23680000	6	3	2	6	3	2	7
23700000	5	2	2	5	2	2	7
23720000	5	3	2	5	2	2	6
23740000	5	2	2	6	2	2	7
23760000	5	2	3	6	2	2	6
23780000	5	2	3	5	2	2	5
23800000	5	2	3	5	2	2	6
23820000	5	2	2	5	2	2	6
23840000	6	2	2	5	3	3	7
23860000	5	3	2	6	2	2	8
23880000	5	3	2	5	3	3	5
23900000	5	2	2	6	2	2	6
23920000	5	2	2	5	2	2	6
23940000	6	2	3	5	2	2	6
23960000	7	4	4	6	3	2	7
23980000	5	3	2	6	2	2	5
24000000	5	3	3	5	2	2	8
24020000	6	3	2	5	2	2	6
24040000	5	3	2	6	2	3	6
24060000	5	2	2	5	3	3	6
24080000	6	2	3	5	3	2	8
24100000	7	3	3	5	2	2	8
24120000	5	3	3	6	2	2	8
24140000	5	2	3	5	2	2	7
24160000	5	2	2	5	2	2	8
24180000	6	4	3	5	3	2	6
24200000	6	2	3	5	2	3	8
24220000	5	2	2	7	2	2	5
24240000	5	2	4	6	2	2	7
24260000	6	2	3	7	3	2	7
24280000	5	2	3	7	2	2	8
