states	PB1	PB2	PA	NP	NA	MP	NS
20000000	2	1	2	5	3	1	5
20020000	2	1	2	6	4	1	5
20040000	2	1	1	6	3	1	6
20060000	2	2	1	5	3	2	6
20080000	2	1	2	5	4	2	6
20100000	2	2	1	4	4	2	5
20120000	2	1	3	5	5	1	5
20140000	2	1	2	5	3	1	5
20160000	2	1	1	5	3	1	5
20180000	2	1	1	4	3	1	5
20200000	2	1	2	4	3	1	6
20220000	2	1	3	4	3	1	5
20240000	2	4	2	4	3	1	5
20260000	2	1	2	6	3	1	6
20280000	2	1	1	4	4	1	6
20300000	2	1	2	4	4	2	6
20320000	2	1	2	6	3	1	5
20340000	2	1	2	4	3	1	6
20360000	2	1	1	5	4	1	6
20380000	2	3	1	6	4	1	6
20400000	2	1	2	5	3	1	7
20420000	3	1	2	5	3	1	5
20440000	2	1	1	4	3	1	6
20460000	2	1	1	5	3	1	6
20480000	2	1	1	5	3	1	6
20500000	2	2	2	6	3	1	5
20520000	2	1	2	5	3	1	5
20540000	2	1	2	5	4	1	5
20560000	2	1	2	4	3	2	6
20580000	2	1	3	5	6	1	5
20600000	2	1	1	5	3	1	7
20620000	2	1	3	5	3	1	6
20640000	2	2	2	5	5	1	6
20660000	2	1	2	9	3	1	6
20680000	2	1	2	5	3	1	5
20700000	2	1	2	4	3	1	5
20720000	2	1	2	6	3	1	5
20740000	2	1	2	4	3	2	5
20760000	2	2	2	6	3	1	5
20780000	2	1	2	5	3	1	7
20800000	2	1	2	4	3	1	5
20820000	2	1	2	6	3	1	5
20840000	3	1	2	4	4	1	5
20860000	2	3	2	4	3	1	5
20880000	2	1	2	5	3	1	6
20900000	2	1	2	5	4	1	5
20920000	2	1	2	6	3	1	5
20940000	2	1	2	5	3	1	7
20960000	2	2	2	4	3	1	5
20980000	2	1	2	5	3	1	5
21000000	2	1	2	5	4	1	5
21020000	2	1	2	4	4	2	7
21040000	2	3	2	6	5	1	6
21060000	2	1	2	6	5	1	5
21080000	2	1	3	5	3	1	5
21100000	2	1	1	4	3	1	5
21120000	2	1	2	4	4	1	5
21140000	2	1	2	4	5	1	8
21160000	2	3	2	5	3	1	6
21180000	2	1	2	5	3	3	5
21200000	2	1	2	8	4	1	6
21220000	2	1	2	5	3	1	5
21240000	2	2	2	4	3	1	7
21260000	2	3	2	5	4	2	6
21280000	2	1	2	4	3	1	6
21300000	2	1	2	4	3	1	6
21320000	2	1	1	5	4	1	5
21340000	2	1	2	4	3	2	5
21360000	2	1	2	5	3	1	5
21380000	2	1	2	5	4	1	5
21400000	2	1	2	5	3	1	6
21420000	2	1	3	6	4	1	6
21440000	2	2	2	4	3	1	5
21460000	2	1	2	4	4	1	5
21480000	2	1	2	5	4	1	5
21500000	2	2	2	6	4	2	5
21520000	2	1	2	4	5	1	6
21540000	2	1	2	4	3	2	6
21560000	2	1	2	4	4	1	6
21580000	2	1	2	7	4	1	6
21600000	2	1	2	5	4	1	5
21620000	2	1	2	5	4	2	5
21640000	2	1	2	5	3	1	5
21660000	2	2	2	7	4	1	5
21680000	2	1	2	6	4	2	6
21700000	2	1	2	5	3	1	6
21720000	2	1	2	8	4	1	6
21740000	2	1	1	5	3	1	6
21760000	2	1	1	5	3	1	6
21780000	2	1	1	4	4	1	5
21800000	2	1	1	5	4	1	6
21820000	2	1	1	7	3	1	6
21840000	2	1	2	4	4	1	7
21860000	2	1	1	5	3	1	6
21880000	2	1	2	4	3	1	5
21900000	2	1	2	4	3	1	5
21920000	2	1	2	5	3	1	5
21940000	2	1	2	4	3	1	6
21960000	2	1	2	4	3	1	6
21980000	2	3	2	7	3	1	5
22000000	2	1	2	5	4	1	6
22020000	2	3	3	5	3	1	6
22040000	2	1	2	4	3	2	5
22060000	2	1	2	6	3	1	5
22080000	2	1	2	5	4	1	5
22100000	2	1	1	5	3	2	5
22120000	2	1	2	8	3	1	5
22140000	2	1	1	5	4	1	5
22160000	2	1	1	5	3	1	5
22180000	2	1	2	7	4	1	5
22200000	2	1	2	5	3	1	6
22220000	2	1	2	5	3	1	5
22240000	2	1	2	5	3	1	5
22260000	2	1	2	4	4	1	5
22280000	2	1	2	5	3	2	7
22300000	2	1	2	6	3	1	6
22320000	2	1	2	5	4	1	6
22340000	2	2	2	5	3	1	6
22360000	2	2	2	4	4	1	5
22380000	2	2	2	4	3	1	5
22400000	2	3	2	4	4	2	6
22420000	3	2	2	6	4	2	6
22440000	2	1	2	6	3	1	6
22460000	2	1	2	7	4	1	5
22480000	2	1	2	6	3	1	7
22500000	2	5	2	4	4	2	5
22520000	2	3	2	4	4	2	6
22540000	2	2	2	5	4	1	6
22560000	2	1	2	5	4	3	5
22580000	2	1	2	4	4	1	5
22600000	2	1	2	5	3	1	5
22620000	2	1	2	4	3	1	5
22640000	2	1	2	7	4	1	6
22660000	2	1	2	5	3	1	6
22680000	2	1	2	7	6	1	5
22700000	2	1	2	5	4	1	5
22720000	2	1	2	5	3	1	5
22740000	3	2	2	4	4	1	5
22760000	2	2	2	5	3	1	7
22780000	2	1	2	5	3	1	5
22800000	2	1	2	5	3	1	5
22820000	2	1	2	7	3	3	5
22840000	2	1	2	6	3	1	5
22860000	2	1	2	4	3	2	5
22880000	2	1	2	4	5	1	6
22900000	2	1	2	7	3	1	5
22920000	2	1	2	5	4	1	7
22940000	2	1	2	4	3	1	5
22960000	2	1	3	5	4	1	5
22980000	2	1	2	4	4	1	5
23000000	2	1	2	4	3	1	7
23020000	2	1	1	5	4	1	5
23040000	2	2	2	4	3	1	5
23060000	2	1	2	5	4	1	5
23080000	2	2	2	5	4	1	5
23100000	2	1	1	5	3	1	5
23120000	2	1	2	5	3	1	5
23140000	2	1	1	5	4	1	5
23160000	2	1	1	8	4	1	5
23180000	2	1	2	5	4	1	5
23200000	2	1	2	7	4	1	5
23220000	2	1	1	5	5	1	6
23240000	2	1	3	5	4	1	5
23260000	2	1	2	5	3	1	9
23280000	2	1	2	5	3	1	7
23300000	2	1	2	4	3	1	5
23320000	2	1	1	5	3	1	5
23340000	2	1	2	5	6	1	6
23360000	2	1	2	6	3	1	5
23380000	2	1	3	5	3	1	6
23400000	2	1	2	6	3	1	5
23420000	2	1	1	5	3	1	6
23440000	2	1	2	5	3	1	5
23460000	2	1	1	5	4	1	5
23480000	2	1	3	4	3	1	8
23500000	2	1	2	5	3	1	5
23520000	2	1	2	5	4	1	6
23540000	2	1	1	5	3	1	6
23560000	2	2	2	5	3	1	5
23580000	2	1	1	5	3	1	5
23600000	2	1	2	5	3	1	7
23620000	2	1	2	4	5	5	5
23640000	2	1	2	6	3	1	5
23660000	2	3	2	4	3	2	6
23680000	2	1	2	5	4	1	6
23700000	2	2	2	4	3	1	5
23720000	2	1	2	5	3	1	5
23740000	2	1	2	5	3	1	5
23760000	2	1	2	5	3	1	5
23780000	2	1	1	4	4	1	6
23800000	2	1	1	4	4	1	6
23820000	2	1	2	6	4	1	5
23840000	2	1	2	5	3	1	5
23860000	2	2	2	7	4	1	6
23880000	2	1	2	5	3	1	5
23900000	2	1	2	5	3	1	5
23920000	2	3	2	5	4	1	6
23940000	2	1	2	5	3	2	5
23960000	2	1	1	5	3	1	7
23980000	3	1	1	5	3	1	5
24000000	3	1	2	5	3	1	5
24020000	2	1	2	5	3	1	5
24040000	2	1	2	4	4	2	5
24060000	2	1	1	6	4	1	5
24080000	2	1	2	4	4	1	5
24100000	2	1	2	6	3	1	5
24120000	2	1	2	4	3	1	6
24140000	2	3	2	4	3	1	6
24160000	2	1	2	5	3	1	5
24180000	3	1	2	4	4	1	6
24200000	2	1	2	4	4	1	6
24220000	2	1	1	5	3	1	5
24240000	2	1	1	4	4	1	6
24260000	2	1	2	5	3	2	6
24280000	2	1	2	6	3	1	5
24300000	2	1	2	8	4	1	5
24320000	2	1	2	5	3	1	5
24340000	2	1	2	5	4	1	5
24360000	2	1	2	4	3	1	6
24380000	2	1	2	5	3	1	5
