states	PB1	PB2	PA	HA	NP	NA	MP
20000000	5	3	4	6	5	2	2
20020000	5	3	6	7	5	2	2
20040000	6	3	5	8	4	2	1
20060000	5	3	6	7	4	2	1
20080000	5	3	4	7	5	2	2
20100000	5	3	6	6	5	2	2
20120000	5	4	4	5	5	2	2
20140000	5	4	4	6	4	2	2
20160000	5	3	5	6	5	2	3
20180000	5	3	7	5	5	2	2
20200000	5	3	4	6	5	2	2
20220000	5	3	6	6	5	3	3
20240000	6	3	4	5	5	2	4
20260000	5	4	4	5	4	2	2
20280000	6	3	6	7	6	2	4
20300000	5	3	6	5	5	2	2
20320000	6	3	5	5	5	2	2
20340000	5	3	5	5	5	2	2
20360000	6	3	4	6	5	2	2
20380000	5	3	4	6	5	2	2
20400000	5	3	4	6	5	2	2
20420000	5	3	4	7	5	2	2
20440000	5	3	4	6	4	2	2
20460000	6	3	5	6	4	2	1
20480000	5	3	5	6	4	2	1
20500000	7	3	6	6	4	2	1
20520000	5	3	5	5	5	2	2
20540000	5	3	4	6	5	2	2
20560000	5	3	5	6	5	2	2
20580000	5	3	6	6	5	2	4
20600000	5	3	4	6	6	2	2
20620000	6	3	4	6	5	2	2
20640000	6	3	5	6	5	2	2
20660000	5	3	5	6	7	2	2
20680000	5	4	4	6	5	3	2
20700000	5	3	5	6	5	2	2
20720000	5	3	5	6	5	3	2
20740000	5	3	5	6	5	2	2
20760000	6	3	5	6	5	2	2
20780000	6	3	4	5	7	2	2
20800000	5	3	5	6	5	2	2
20820000	5	3	5	7	5	2	2
20840000	5	3	5	6	5	2	2
20860000	5	3	5	7	5	2	2
20880000	5	3	6	6	5	2	2
20900000	5	3	4	8	5	2	2
20920000	5	3	5	6	5	2	2
20940000	5	3	5	6	6	2	2
20960000	5	3	6	6	7	2	2
20980000	5	3	7	6	6	2	2
21000000	5	3	5	6	5	2	2
21020000	5	3	3	6	6	2	2
21040000	5	3	4	7	5	2	2
21060000	6	3	5	5	5	2	2
21080000	5	3	4	6	5	2	2
21100000	5	3	5	6	5	2	2
21120000	5	3	5	6	5	2	2
21140000	5	3	5	6	5	2	4
21160000	6	3	5	6	5	2	2
21180000	5	3	5	6	5	2	2
21200000	6	3	4	7	5	2	2
21220000	6	3	5	5	5	2	2
21240000	5	3	5	6	4	2	2
21260000	6	3	6	6	5	2	2
21280000	5	3	4	6	5	2	3
21300000	6	3	3	7	4	2	3
21320000	5	3	7	6	5	2	2
21340000	6	3	8	7	5	2	2
21360000	5	3	5	6	5	2	2
21380000	5	4	6	6	5	3	2
21400000	6	3	5	6	5	2	2
21420000	6	3	4	5	5	2	2
21440000	5	3	5	6	5	2	2
21460000	5	3	5	6	5	2	2
21480000	5	3	5	7	6	2	2
21500000	5	3	5	6	4	2	2
21520000	6	3	5	6	5	2	2
21540000	5	3	4	8	6	2	2
21560000	5	3	5	6	7	2	2
21580000	6	3	6	6	5	2	2
21600000	5	3	7	7	5	2	2
21620000	6	3	4	5	5	2	2
21640000	6	3	5	6	5	2	2
21660000	6	3	4	6	6	2	2
21680000	6	3	6	6	5	2	2
21700000	6	3	5	9	6	2	2
21720000	5	3	5	5	5	2	2
21740000	5	3	5	7	6	2	2
21760000	5	3	5	6	5	2	2
21780000	5	3	6	7	5	3	2
21800000	5	3	6	7	5	2	2
21820000	5	3	5	5	5	2	2
21840000	5	4	5	6	6	2	3
21860000	5	3	4	6	5	2	2
21880000	5	3	5	6	7	2	2
21900000	6	3	4	6	4	2	2
21920000	6	3	4	7	5	2	2
21940000	5	3	5	6	5	2	2
21960000	5	3	5	6	5	2	3
21980000	6	3	5	6	5	2	2
22000000	5	3	7	7	10	2	1
22020000	6	3	6	7	4	2	1
22040000	5	3	6	6	5	2	2
22060000	5	3	6	7	5	2	2
22080000	7	3	5	6	5	2	2
22100000	6	3	6	7	5	2	2
22120000	5	3	6	5	5	2	2
22140000	5	3	6	6	5	2	2
22160000	5	3	5	6	6	2	2
22180000	5	3	4	6	5	2	2
22200000	6	3	5	6	7	2	2
22220000	5	3	5	6	5	2	2
22240000	5	3	5	6	5	3	2
22260000	6	3	5	7	5	2	2
22280000	6	3	5	7	5	2	2
22300000	5	3	5	6	5	2	2
22320000	5	3	5	6	5	2	2
22340000	7	3	8	6	5	2	1
22360000	6	3	6	8	4	2	1
22380000	5	3	4	6	5	2	2
22400000	5	3	7	7	5	2	2
22420000	5	3	9	7	5	2	2
22440000	5	3	7	7	8	2	2
22460000	5	3	5	8	5	2	2
22480000	5	3	6	7	4	3	1
22500000	6	3	6	6	5	2	1
22520000	6	3	5	6	4	2	1
22540000	6	3	5	6	5	2	1
22560000	6	3	6	6	5	2	1
22580000	6	3	6	8	4	2	2
22600000	5	3	6	8	5	2	2
22620000	5	3	5	6	5	2	2
22640000	5	3	5	6	5	2	2
22660000	5	3	5	6	5	2	2
22680000	5	3	5	5	5	2	2
22700000	5	3	5	5	5	2	2
22720000	7	3	5	7	5	2	2
22740000	7	3	5	6	5	2	2
22760000	5	3	5	7	5	2	2
22780000	5	3	5	6	6	2	2
22800000	5	3	5	6	6	2	2
22820000	5	3	5	6	5	2	2
22840000	5	3	7	7	5	2	2
22860000	6	3	4	6	7	2	2
22880000	5	3	5	7	5	2	2
22900000	5	3	6	9	7	2	2
22920000	5	3	6	6	5	2	2
22940000	5	3	6	6	5	2	2
22960000	6	3	6	7	5	2	2
22980000	6	3	6	7	9	2	2
23000000	6	3	5	6	5	2	2
23020000	5	3	4	7	4	2	1
23040000	8	3	6	7	4	2	1
23060000	6	3	4	8	4	2	1
