states	PB1	PB2	PA	HA	NP	MP	NS
23520000	4	2	7	7	7	3	5
23540000	4	2	5	6	7	3	5
23560000	4	2	5	5	7	3	5
23580000	4	2	4	5	8	3	6
23600000	4	2	5	5	5	3	6
23620000	4	2	4	5	6	3	5
23640000	4	2	5	5	7	3	6
23660000	4	2	5	5	6	4	5
23680000	4	2	4	6	7	3	5
23700000	4	2	5	5	7	3	6
23720000	4	2	5	5	8	3	5
23740000	5	2	5	5	7	3	5
23760000	4	2	5	5	10	3	5
23780000	4	3	5	6	7	3	5
23800000	4	2	5	5	7	3	5
23820000	4	2	5	6	8	3	7
23840000	4	2	5	5	5	3	6
23860000	4	3	5	5	6	3	5
23880000	4	2	5	5	5	3	7
23900000	4	2	5	6	6	3	5
23920000	4	2	5	5	6	3	6
23940000	4	2	6	6	6	5	6
23960000	4	2	5	5	6	3	5
23980000	5	2	5	5	6	6	6
24000000	4	2	5	5	8	3	5
24020000	4	2	5	5	6	3	5
24040000	4	2	5	6	7	4	5
24060000	5	2	5	5	8	3	6
24080000	4	2	5	5	8	3	5
24100000	4	2	5	7	7	3	6
24120000	4	2	5	5	8	5	6
24140000	5	2	5	5	5	3	6
24160000	4	2	4	6	5	3	5
24180000	4	2	5	5	8	3	5
24200000	4	2	5	6	6	3	5
24220000	4	2	5	6	6	3	5
24240000	4	2	5	6	6	3	5
24260000	3	2	5	4	6	3	5
24280000	4	2	5	5	6	5	5
24300000	4	2	5	5	7	3	5
24320000	4	2	5	7	6	4	5
24340000	4	2	5	6	7	3	5
24360000	4	2	6	5	8	3	5
24380000	4	2	5	6	5	3	5
24400000	4	2	5	6	6	3	5
24420000	4	2	5	5	6	3	6
24440000	4	2	5	6	7	3	5
24460000	4	2	5	6	6	3	5
24480000	4	2	5	6	5	3	6
24500000	4	2	5	6	5	4	5
24520000	4	2	5	5	7	3	5
24540000	4	2	6	6	8	4	5
24560000	4	2	5	5	6	3	5
24580000	4	2	5	6	5	3	5
24600000	4	2	4	5	5	3	5
24620000	4	2	5	5	6	3	5
24640000	4	2	4	6	5	5	5
24660000	4	2	5	6	7	3	6
24680000	4	2	4	5	7	4	5
24700000	5	2	5	4	7	3	6
24720000	4	2	6	5	6	3	5
24740000	4	2	5	5	7	3	4
24760000	4	2	8	5	6	4	5
24780000	4	2	5	6	6	3	5
24800000	4	2	5	6	7	3	5
24820000	4	2	5	6	6	3	5
24840000	4	2	5	5	7	3	6
24860000	4	2	5	4	6	3	6
24880000	4	2	5	6	6	3	6
24900000	4	2	8	6	6	3	5
24920000	4	2	5	5	7	3	7
24940000	4	2	5	6	7	3	5
24960000	4	2	5	7	6	3	5
24980000	4	2	8	5	7	3	5
25000000	4	4	4	5	6	5	5
25020000	4	2	5	6	7	4	6
25040000	4	2	5	5	6	5	5
25060000	4	2	5	5	6	3	5
25080000	4	2	5	5	10	3	5
25100000	4	2	4	4	8	3	6
25120000	4	2	6	5	7	3	6
25140000	4	2	5	5	7	3	5
25160000	4	2	6	5	8	3	5
25180000	4	2	5	5	8	3	6
25200000	4	2	5	5	7	3	5
25220000	4	2	5	6	6	3	6
25240000	4	2	5	6	7	3	6
25260000	4	2	12	6	7	6	6
25280000	4	2	5	6	8	3	7
25300000	4	2	5	7	6	3	5
25320000	4	2	5	5	8	3	6
25340000	4	2	4	5	6	3	5
25360000	4	2	5	6	7	3	7
25380000	5	2	7	5	6	3	5
25400000	4	2	5	6	6	3	5
25420000	4	2	5	5	7	4	4
25440000	4	2	5	5	6	4	6
25460000	4	2	5	5	6	3	5
25480000	4	2	5	5	7	3	6
25500000	4	2	4	5	7	5	5
25520000	4	2	5	5	7	3	6
25540000	4	2	5	6	6	3	6
25560000	4	2	5	6	7	3	6
25580000	4	2	6	6	6	3	5
25600000	6	2	5	5	7	3	5
25620000	4	2	5	5	6	3	6
25640000	4	2	5	5	7	3	5
