states	PB2	PA	HA	NP	NA	MP	NS
20000000	2	5	3	5	2	2	7
20020000	2	5	3	5	2	3	4
20040000	2	5	4	5	2	2	4
20060000	2	5	3	5	2	4	4
20080000	2	6	3	5	3	2	4
20100000	2	5	3	5	2	2	5
20120000	2	5	4	5	2	2	7
20140000	2	5	3	5	2	2	5
20160000	2	5	4	5	2	2	5
20180000	2	6	4	5	2	2	6
20200000	2	5	4	7	2	2	4
20220000	2	5	3	5	2	3	4
20240000	2	5	3	6	2	2	4
20260000	3	7	4	5	2	2	6
20280000	2	8	3	7	2	2	4
20300000	2	5	3	5	2	2	4
20320000	3	6	3	6	2	2	4
20340000	3	5	3	7	2	2	3
20360000	2	8	3	5	2	2	4
20380000	2	5	3	5	2	4	4
20400000	2	6	3	5	2	2	4
20420000	2	5	3	6	2	2	4
20440000	3	5	3	5	2	2	5
20460000	2	5	3	5	2	2	4
20480000	2	4	3	5	2	2	5
20500000	2	5	3	5	2	2	4
20520000	2	5	3	5	2	2	4
20540000	3	5	3	5	2	2	3
20560000	2	5	3	6	3	2	5
20580000	2	5	3	5	2	2	4
20600000	2	5	3	8	2	2	4
20620000	3	5	3	5	2	3	7
20640000	2	5	3	5	2	3	4
20660000	2	5	3	6	2	2	4
20680000	2	5	4	5	2	2	4
20700000	3	5	3	5	2	2	5
20720000	2	6	3	5	2	2	4
20740000	3	5	5	5	2	2	3
20760000	2	5	4	5	2	2	4
20780000	2	5	3	5	2	2	5
20800000	2	5	3	5	2	2	4
20820000	2	5	3	5	2	2	5
20840000	3	5	3	6	2	2	5
20860000	2	5	3	6	2	2	4
20880000	2	5	3	5	2	2	4
20900000	2	5	3	5	2	2	4
20920000	3	6	3	6	2	2	5
20940000	2	6	4	5	2	2	4
20960000	2	5	4	5	2	2	4
20980000	2	5	3	5	2	2	5
21000000	2	6	4	5	2	2	4
21020000	2	5	3	5	2	2	4
21040000	2	5	3	5	2	2	6
21060000	2	4	3	5	2	2	7
21080000	2	5	3	5	2	2	4
21100000	3	5	4	5	2	2	4
21120000	2	5	3	5	2	2	4
21140000	2	4	3	5	2	2	4
21160000	2	5	3	8	3	2	3
21180000	2	5	3	5	2	2	4
21200000	2	4	3	5	2	2	5
21220000	2	4	3	5	2	2	3
21240000	2	6	3	6	2	2	4
21260000	2	5	4	5	2	2	5
21280000	3	5	3	7	2	2	4
21300000	2	5	3	5	2	2	6
21320000	2	5	3	7	2	2	4
21340000	2	6	3	7	2	2	5
21360000	2	6	3	5	2	2	4
21380000	2	5	3	5	2	2	5
21400000	2	5	3	5	2	2	5
21420000	3	5	4	5	2	2	4
21440000	2	6	3	5	2	2	4
