states	PB1	PB2	PA	HA	NP	NA	NS
20000000	4	4	2	4	4	3	8
20020000	4	4	2	4	4	3	9
20040000	4	4	2	5	4	2	8
20060000	4	4	3	5	5	4	8
20080000	4	5	2	5	4	2	8
20100000	4	4	2	4	3	3	8
20120000	4	3	6	5	4	2	9
20140000	4	4	3	5	3	2	8
20160000	4	4	5	5	3	3	8
20180000	4	4	6	6	3	3	9
20200000	5	4	4	5	3	4	8
20220000	5	4	4	5	3	3	9
20240000	4	4	3	5	4	3	11
20260000	5	4	3	5	3	3	9
20280000	5	4	5	5	4	3	9
20300000	4	4	3	5	3	3	10
20320000	4	3	3	7	4	2	10
20340000	4	4	4	5	3	2	12
20360000	4	3	4	6	3	2	9
20380000	4	4	4	5	3	3	9
20400000	4	4	3	5	3	3	10
20420000	4	5	5	5	3	3	10
20440000	4	4	4	5	5	4	8
20460000	4	3	5	6	3	2	8
20480000	4	3	5	5	3	2	9
20500000	4	4	3	6	3	2	9
20520000	4	4	5	7	3	3	10
20540000	4	4	7	6	3	3	9
20560000	4	5	8	5	3	2	9
20580000	4	4	2	4	5	2	8
20600000	4	4	2	5	3	2	8
20620000	5	4	4	6	4	3	9
20640000	5	4	3	5	4	2	8
20660000	4	4	4	6	3	3	9
20680000	7	4	4	6	3	4	11
20700000	5	4	2	5	4	3	9
20720000	4	4	2	5	4	3	10
20740000	5	4	3	5	4	3	9
20760000	4	5	3	5	3	3	8
20780000	4	4	3	5	5	2	10
20800000	4	4	4	5	5	4	9
20820000	4	4	2	5	4	3	8
20840000	6	4	5	4	6	2	9
20860000	4	4	4	5	4	4	10
20880000	4	4	3	4	4	3	8
20900000	4	4	3	5	6	3	9
20920000	4	4	3	5	8	2	8
20940000	4	3	3	5	7	2	10
20960000	6	4	3	5	4	3	9
20980000	4	4	5	6	3	2	9
21000000	5	3	2	5	6	4	11
21020000	6	4	2	5	4	2	9
21040000	4	5	4	5	3	3	8
21060000	6	4	2	6	4	2	9
21080000	6	3	3	5	4	2	9
21100000	4	4	2	5	4	2	9
21120000	4	4	3	5	4	3	9
21140000	5	4	3	5	5	2	8
21160000	4	6	2	5	4	2	10
21180000	4	4	3	4	5	2	9
21200000	4	4	5	5	4	2	9
21220000	4	4	2	6	5	3	9
21240000	4	5	2	4	4	2	9
21260000	4	3	3	5	4	2	10
21280000	4	4	3	5	3	2	8
21300000	4	4	2	6	4	2	8
21320000	4	4	2	4	4	3	8
21340000	4	4	3	4	3	3	10
21360000	4	4	3	5	3	3	11
21380000	4	5	2	5	3	3	8
21400000	4	4	5	5	3	3	9
21420000	4	5	3	5	4	3	9
21440000	4	4	2	5	3	2	8
21460000	6	4	2	5	3	2	9
21480000	5	4	4	5	3	2	9
21500000	4	4	3	5	3	2	8
21520000	5	3	2	5	3	3	8
21540000	5	4	4	5	3	2	8
21560000	4	4	3	5	3	2	9
21580000	4	6	4	5	5	3	9
21600000	4	4	3	5	3	2	11
21620000	4	4	4	7	3	3	10
21640000	4	4	2	5	4	3	10
21660000	4	5	3	5	5	2	11
21680000	6	4	4	5	4	3	10
21700000	4	4	3	5	5	2	11
21720000	4	5	3	4	5	2	10
21740000	4	4	3	4	4	2	9
21760000	4	4	2	4	3	4	9
21780000	5	5	4	6	4	3	10
21800000	4	5	3	5	4	2	9
21820000	4	4	3	5	3	4	10
21840000	4	4	5	5	3	2	10
21860000	5	4	4	6	3	3	11
21880000	5	4	3	5	3	2	9
21900000	4	5	3	5	3	3	11
21920000	4	5	4	5	3	2	9
21940000	4	4	3	5	3	3	9
21960000	5	4	3	5	3	3	9
21980000	4	4	4	6	3	3	8
22000000	4	4	3	5	3	2	8
22020000	4	4	4	5	3	4	11
22040000	4	4	3	5	3	3	11
22060000	4	5	3	5	3	3	9
22080000	5	5	4	5	3	3	9
22100000	4	4	2	5	4	3	8
22120000	5	4	3	5	3	2	9
22140000	4	4	3	5	4	2	10
22160000	4	4	3	5	4	2	10
22180000	5	7	3	5	3	3	9
22200000	4	4	4	5	3	3	9
22220000	4	5	3	5	3	4	10
22240000	5	4	4	5	3	4	9
22260000	5	4	6	5	4	2	9
22280000	4	4	3	5	3	2	9
22300000	4	4	3	5	3	3	8
22320000	4	3	3	5	4	2	9
22340000	4	4	9	5	3	2	10
22360000	4	4	6	5	3	4	8
22380000	5	4	3	5	3	2	9
22400000	5	4	5	5	4	4	9
22420000	5	5	4	5	3	4	11
22440000	4	5	4	5	3	3	8
22460000	4	4	3	5	4	3	10
22480000	4	4	4	5	3	2	9
22500000	4	4	4	5	3	2	11
22520000	4	4	3	5	3	2	11
22540000	4	4	4	5	3	3	9
22560000	4	3	3	5	3	2	9
22580000	5	4	4	5	3	3	10
22600000	4	5	3	5	3	3	9
22620000	4	5	3	5	3	3	11
22640000	4	3	5	5	3	2	11
22660000	4	4	4	5	3	2	11
22680000	5	4	9	5	3	2	10
22700000	4	4	3	5	3	2	9
22720000	4	4	4	5	3	2	10
22740000	4	4	4	5	3	2	11
22760000	4	3	3	5	3	2	9
22780000	4	4	4	5	3	2	9
22800000	4	4	3	5	3	2	8
22820000	5	4	5	5	3	3	11
22840000	5	4	3	5	3	3	9
22860000	4	4	3	5	4	3	9
22880000	4	4	5	5	3	2	9
22900000	4	3	4	5	3	4	8
22920000	4	4	3	6	3	2	9
22940000	4	4	4	5	3	2	9
22960000	4	4	3	6	3	2	9
22980000	5	4	4	5	3	2	12
23000000	4	4	4	5	3	3	9
23020000	4	4	3	5	3	3	10
23040000	4	4	5	5	3	2	10
23060000	4	4	3	5	5	2	10
23080000	4	4	5	6	3	2	10
23100000	4	4	3	5	3	2	8
23120000	5	4	3	5	3	2	8
23140000	5	4	3	5	3	2	10
23160000	4	4	3	5	3	2	9
23180000	4	4	3	5	4	3	11
23200000	4	4	5	4	5	2	11
23220000	6	4	2	5	4	3	9
23240000	6	3	4	5	5	2	9
23260000	4	4	3	5	5	3	10
23280000	4	4	3	5	4	2	8
23300000	5	4	3	5	4	3	8
23320000	4	4	5	5	6	3	9
23340000	4	4	3	5	4	5	9
23360000	4	4	3	5	3	5	9
23380000	4	4	3	5	4	2	9
23400000	5	4	2	5	4	2	10
23420000	4	4	6	5	4	2	9
23440000	4	5	2	5	5	3	10
23460000	4	4	3	5	4	2	9
23480000	5	4	3	5	4	2	9
23500000	4	4	2	5	6	3	9
23520000	6	4	2	5	5	2	9
23540000	5	4	3	5	4	2	10
23560000	5	3	2	5	4	2	9
23580000	5	4	3	5	4	2	9
23600000	5	4	2	5	3	2	11
23620000	5	4	4	5	5	2	10
23640000	4	4	5	5	4	2	9
23660000	4	5	3	5	4	2	9
23680000	4	4	3	5	4	2	8
23700000	4	4	3	5	4	2	10
23720000	4	4	3	5	4	2	10
23740000	4	5	2	6	4	2	9
23760000	5	4	5	5	3	2	11
23780000	5	6	3	5	3	2	12
23800000	4	5	2	5	4	3	13
23820000	4	4	2	5	3	4	10
23840000	4	4	3	5	3	2	9
23860000	4	3	5	5	3	2	8
23880000	4	3	7	5	3	3	8
23900000	4	3	3	5	3	2	8
23920000	4	5	5	5	5	3	8
23940000	4	4	4	5	4	4	10
23960000	4	4	4	5	3	3	8
23980000	5	4	3	5	3	2	9
24000000	4	4	3	5	4	2	9
24020000	5	4	8	5	3	3	9
24040000	4	4	3	5	3	3	10
24060000	4	3	4	5	3	2	10
24080000	4	4	4	5	3	3	10
24100000	4	4	3	5	3	3	10
24120000	4	4	7	5	3	3	10
24140000	4	4	5	6	4	4	9
24160000	5	6	3	5	3	4	9
24180000	5	6	2	5	4	3	8
24200000	4	6	2	4	3	2	9
24220000	4	4	2	5	3	3	10
24240000	4	3	2	4	3	2	9
24260000	6	4	4	5	5	3	8
24280000	4	4	2	5	3	4	9
24300000	4	4	2	4	4	3	10
24320000	4	4	2	4	4	2	10
24340000	4	3	2	4	4	2	11
24360000	4	5	2	5	3	2	9
24380000	4	4	2	4	3	2	9
24400000	6	5	2	5	3	3	9
24420000	4	4	2	7	3	3	9
24440000	4	5	2	4	3	3	10
24460000	4	4	2	5	5	3	9
