states	1984.0_diversity	1985.0_diversity	1986.0_diversity	1987.0_diversity	1988.0_diversity	1989.0_diversity	1990.0_diversity	1991.0_diversity	1992.0_diversity	1993.0_diversity	1994.0_diversity	1995.0_diversity	1996.0_diversity	1997.0_diversity	1998.0_diversity	1999.0_diversity	2000.0_diversity	2001.0_diversity	2002.0_diversity	2003.0_diversity	2004.0_diversity	2005.0_diversity	2006.0_diversity	2007.0_diversity	2008.0_diversity	2009.0_diversity	2010.0_diversity	2011.0_diversity	2012.0_diversity	2013.0_diversity
20000000 	1983.81216418	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	1983.8797436	2001.52024735	0
20020000 	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	1983.02116218	2001.58647264	0
20040000 	1983.21875445	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	1983.2556807	2001.33305102	0
20060000 	1983.40104477	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	1983.49485822	2002.09877193	0
20080000 	1983.56563521	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	1983.5743826	2001.87268676	0
20100000 	0	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	1984.26603634	2001.86032664	0
20120000 	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	1983.1711463	2002.21077694	0
20140000 	1983.20044559	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	1983.22506605	2002.13982371	0
20160000 	1983.55649358	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	1984.15860908	2002.1561619	0
20180000 	1983.37936368	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	1983.69859039	2002.10300667	0
20200000 	1983.66098918	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	1983.72634229	2002.10946889	0
20220000 	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	1983.64681765	2001.89685447	0
20240000 	0	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	1984.21904822	2001.89829165	0
20260000 	0	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	1984.50692972	2001.7100766	0
20280000 	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	1983.78115786	2001.67920428	0
20300000 	1983.52605436	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	1983.62749395	2001.81486475	0
20320000 	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	1983.57119223	2001.88293324	0
20340000 	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	1982.96724203	2001.7634828	0
20360000 	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	1983.35260795	2001.73363072	0
20380000 	1983.1366527	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	1983.39023718	2001.69837971	0
20400000 	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	1983.72047093	2001.88801619	0
20420000 	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	1982.71107092	2001.72926217	0
20440000 	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	1982.83446628	2001.78189718	0
20460000 	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	1982.18738497	2001.65846709	0
20480000 	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	1982.53927215	2001.75840845	0
20500000 	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	1983.28388372	2001.94122942	0
20520000 	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	1983.04904377	2001.76902444	0
20540000 	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	1983.23316068	2001.86226674	0
