,PB1,PB2,PA,HA,NP,NA,M1,NS1
PB1,0.00392579706011,0.00295788222587,0.00207571441604,0.00300594166436,0.00136905450094,0.0019706096477,0.0021094411126,0.00146606356819
PB2,0.00295788222587,0.00292251840877,0.001809367846,0.00245807240166,0.00159324091196,0.00170738389789,0.002037466643,0.00136950408046
PA,0.00207571441604,0.001809367846,0.00222634358907,0.00188417428123,0.00131322624443,0.00153581760081,0.00192843106169,0.00143551290705
HA,0.00300594166436,0.00245807240166,0.00188417428123,0.00319149507858,0.00123922869345,0.00177592012218,0.00193749767949,0.00122498397247
NP,0.00136905450094,0.00159324091196,0.00131322624443,0.00123922869345,0.00226265698727,0.00148355087538,0.00186809940525,0.00154394298432
NA,0.0019706096477,0.00170738389789,0.00153581760081,0.00177592012218,0.00148355087538,0.00267827040095,0.00213240462389,0.00171821616739
M1,0.0021094411126,0.002037466643,0.00192843106169,0.00193749767949,0.00186809940525,0.00213240462389,0.00318629886467,0.00180595640168
NS1,0.00146606356819,0.00136950408046,0.00143551290705,0.00122498397247,0.00154394298432,0.00171821616739,0.00180595640168,0.00528434942291
