states	VicCoreN	YamCoreN	NCN	VicCoreS	YamCoreS	NCS	VicCore_nt	YamCore_nt	NC_nt	VicCoreTime	YamCoreTime	NCTime
20000000 	0.712883984572	0.591865464086	0.580499979399	0.863493277087	0.755470551719	0.700603423413	0.00191448617501	0.00167695432248	0.00177157000153	199.190896518	207.817498171	49.9569354507
20020000 	0.705194716775	0.606635975339	0.554262376922	0.832521540637	0.759527969124	0.702065677435	0.00159365638452	0.00152583560369	0.00130251061916	204.198920631	202.75751027	54.1259902334
20040000 	0.697438167803	0.565110967408	0.507285837223	0.829122297388	0.733243156058	0.676381116298	0.00172377322796	0.00155020324966	0.00153098808983	205.036097251	214.117238876	59.1382565778
20060000 	0.697293534755	0.599870021396	0.532630750314	0.833826534567	0.748637786702	0.652902210063	0.00167219278203	0.00148418179109	0.00133289359775	205.078625962	208.378474572	58.201671574
20080000 	0.691474054067	0.59406163429	0.480301100966	0.787006653642	0.746141412669	0.7641153879	0.00162826551844	0.00148410872094	0.00154355163309	219.820250819	210.415877385	45.804600397
20100000 	0.697664784277	0.572847453953	0.568162234148	0.84997188507	0.73249346571	0.719672163254	0.00179404546313	0.00154800799471	0.00162094587388	203.536144005	212.971183093	52.8018199679
20120000 	0.6802357232	0.591173465691	0.636095840081	0.828737888124	0.765618094912	0.742111813428	0.00159657078306	0.00165124289919	0.00165184802256	208.751165452	206.36920816	47.1627042808
20140000 	0.672286358478	0.58175009784	0.559999661503	0.794520241837	0.741262221442	0.70933290457	0.00170076220361	0.00156296406032	0.0017030020199	212.706978502	213.149942665	53.5714609532
20160000 	0.690367779549	0.57665856503	0.577166277797	0.815017517523	0.73263998016	0.731077285209	0.0016511208574	0.00150057469804	0.00145572610646	208.584473763	211.563665917	51.9780887312
20180000 	0.710411291417	0.598718309135	0.556043639407	0.826396808383	0.755759177105	0.782579936944	0.00169019586148	0.00161035108746	0.00182228359527	206.922386758	203.768613952	48.5573399037
20200000 	0.74355010386	0.605398567393	0.32076594232	0.863626518148	0.772744512851	0.507879408673	0.00182410547633	0.00157463411437	0.00145767695653	216.528784226	203.17193767	37.4104554655
20220000 	0.676996364616	0.596184091967	0.588286377726	0.798388816203	0.758346164982	0.730286537866	0.00158767552202	0.00169458185511	0.00153332858058	214.181356915	209.666781929	49.2957190546
20240000 	0.689166016992	0.604542621856	0.6229067715	0.834764471286	0.779410322393	0.641227558897	0.00173476812037	0.0016002722087	0.00157404534613	206.046143453	200.151313779	54.5828068591
20260000 	0.704540531134	0.609098738796	0.540812425739	0.836641880721	0.77884756764	0.703056153461	0.00167101625804	0.00152387776581	0.00146071118436	204.388525055	200.295932711	55.4720982215
20280000 	0.715097067256	0.590210731602	0.516183293223	0.85011539464	0.753358413509	0.67103828119	0.00177954664957	0.00161390969689	0.00157459563715	199.972852005	208.400141533	58.1188899251
20300000 	0.678615909579	0.607360739256	0.635262723583	0.807876082832	0.783043597719	0.873486244926	0.00178716581935	0.00166056930953	0.00177062668862	216.617379471	199.222623688	37.7796447187
20320000 	0.693249288358	0.614495597643	0.620029215832	0.838686201999	0.779360270182	0.751550564645	0.00194907806203	0.00184816288699	0.00153376199937	206.275004391	200.164167932	53.2232984469
20340000 	0.668319037424	0.620442373729	0.598169343725	0.793628856941	0.783181357002	0.777620146843	0.00179854414078	0.00168406228673	0.00170332716499	215.465955534	196.633894082	50.1530215727
20360000 	0.672315201582	0.576305365079	0.586516271858	0.820129182072	0.733479555556	0.718955430019	0.00160839164805	0.00147241052808	0.0015511226042	209.723057977	209.95813562	52.8544585844
20380000 	0.68817779458	0.626142215954	0.534101606849	0.798095081214	0.80431276521	0.747742249589	0.00157152775747	0.00156317488148	0.00123071523508	209.248251156	196.440995138	56.1690877078
20400000 	0.677793515882	0.619020975546	0.608607740348	0.793854049423	0.781387133066	0.819279650468	0.00166203222396	0.00159618015674	0.00153845000441	215.404834332	197.085405535	42.7204556832
20420000 	0.690957067773	0.613798066591	0.629628734506	0.825309830951	0.779825412473	0.755554481407	0.00178276688224	0.00162537860866	0.00169574480438	208.406580837	198.762437747	47.6471265619
20440000 	0.676380357385	0.598349799293	0.644197854533	0.819277615988	0.758882672273	0.789661886202	0.00169648371008	0.00148470883569	0.00154808962909	209.941046409	205.565373541	48.1218616017
20460000 	0.680861919749	0.587740791133	0.628581788509	0.803795321926	0.757748457989	0.796203598778	0.00195132035046	0.00163462802769	0.00168053284791	211.496627764	205.87306824	47.7264861128
20480000 	0.719224940599	0.579890187422	0.360917844208	0.835373067652	0.724862734278	0.457162602663	0.00170654565265	0.00143070368994	0.00114547241533	223.852081472	213.833588996	41.5607048549
20500000 	0.708341121283	0.564890960362	0.510915370424	0.846074117089	0.726949842433	0.707421282125	0.00179048662413	0.00156191197568	0.00172192801729	203.291882503	215.970883871	50.8890542448
20520000 	0.717541511901	0.553378408099	0.573672382644	0.869134789063	0.707598620193	0.771490445625	0.00175499788249	0.00150598972626	0.0018756108378	197.89795802	220.463968623	50.5515009566
20540000 	0.709558558982	0.560272743644	0.599980451657	0.865560795354	0.707229528862	0.735459908483	0.00185856630909	0.00144796159538	0.00173378497891	198.715099994	217.751088883	51.668350051
20560000 	0.770753762847	0.559803901731	0.47336513119	0.900074863996	0.72364894614	0.729771243918	0.00172556629168	0.00146086069366	0.00129090740272	193.317252776	219.719797629	50.7008193436
20580000 	0.736919016076	0.570309499476	0.615255576292	0.892606132149	0.746502678176	0.806196962037	0.00188944397894	0.00160589005346	0.00164102816832	192.694172497	215.672367571	47.1348836443
20600000 	0.71413837295	0.586610011879	0.597358950409	0.848039317879	0.743993185798	0.789367184469	0.00168143935894	0.00143196184229	0.00139568839354	201.641594198	209.679339781	46.8729898176
20620000 	0.69694420614	0.582497842103	0.570542290281	0.837301025432	0.734041996146	0.72793326691	0.00173473250855	0.00144695876948	0.00142300427487	206.616252394	211.159580533	50.8288351171
20640000 	0.702226604819	0.57452372033	0.639745747704	0.845639080451	0.729927677468	0.794167135081	0.00180525079709	0.00161566830316	0.00172506994201	202.213927848	212.349805035	45.3305084154
20660000 	0.739003593283	0.606219647046	0.671890521415	0.869711711822	0.778721172628	0.930309952729	0.00183000004846	0.00180249944485	0.00184736681311	198.916488818	202.896756315	38.6967804595
20680000 	0.670950890697	0.600608946957	0.655080141822	0.808947882401	0.760448424776	0.835791905083	0.00160539796628	0.00142506484572	0.00142742523592	210.149508638	206.457130931	44.2693926263
20700000 	0.695676993631	0.606760644348	0.556407611096	0.806792069003	0.769550085515	0.699996672024	0.00179959609985	0.00151913830454	0.00151092979163	206.992614846	202.715850386	55.7145505953
20720000 	0.702708271687	0.615431575251	0.610472039204	0.850129587425	0.779215784793	0.778878118985	0.00180629162647	0.00159228802632	0.00164602607349	203.498387256	201.484624752	47.5042231874
