states	VicCoreN	YamCoreN	NCN	VicCoreS	YamCoreS	NCS	VicCore_nt	YamCore_nt	NC_nt	VicCoreTime	YamCoreTime	NCTime
20000000	0.437252207815	0.605775420962	0.647456057359	2.26289286931	2.28792865603	2.49733050696	0.00164579576053	0.00167224925277	0.00172258314819	221.839931889	199.743990616	43.2461781487
20020000	0.442169667911	0.610017155296	0.622368121825	2.29290044288	2.30899055476	2.46553525185	0.00158976382553	0.00160713422587	0.00173067422328	219.372804241	198.355077311	41.7759186054
20040000	0.442873909528	0.588456650524	0.629571004291	2.28215637053	2.27046190994	2.54249828656	0.00153700302086	0.00168091962252	0.00170688322756	221.281944797	203.923262475	41.2979629347
20060000	0.448013162373	0.600809657261	0.61788413767	2.34273549491	2.28307669759	2.54283087426	0.00169787294023	0.00166076429775	0.00174439672637	214.279418693	199.730477947	42.079086377
20080000	0.443440489808	0.615509940271	0.597774907318	2.26748951489	2.37556315791	2.43708231445	0.0016457612214	0.00174021804661	0.00183779380247	218.744120642	196.584964894	43.494632648
20100000	0.427755076507	0.60476483638	0.593117499449	2.24125836961	2.30818579219	2.32684557476	0.00151753920954	0.00160052177863	0.00155771922153	224.427494313	198.424234977	43.8361707826
20120000	0.43654136633	0.613356128832	0.592175774006	2.2187102433	2.33779180252	2.63189232892	0.00158172361188	0.00161359993345	0.00166845670354	222.201164613	198.905650837	45.5945703711
20140000	0.416826458989	0.596690884299	0.561247427918	2.19268085197	2.28731505648	2.24498971167	0.00159611549939	0.00158256496967	0.00177369007769	230.31167511	201.109155775	46.3253793366
20160000	0.438128872332	0.597245750552	0.548021808776	2.22534763868	2.30437318755	2.31663764619	0.00162317529164	0.00164101021639	0.00181502778508	230.52577992	200.922316968	40.1443877738
20180000	0.431046204538	0.594796424247	0.570627792375	2.23521897817	2.26120954672	2.21666950115	0.00169460564324	0.00167833106078	0.00165612945549	225.03388031	203.430947241	45.5638515113
20200000	0.436247228304	0.592835918688	0.583730068485	2.22621008258	2.26759738898	2.42472489986	0.00164100462106	0.00165108043848	0.00173842241099	222.350982898	202.416885039	44.5411353701
20220000	0.445517120873	0.603235328469	0.649269275664	2.27213731645	2.29732120925	2.57002421617	0.00166227353799	0.00167870486257	0.00175562977395	224.458265047	198.927341183	36.9646322406
20240000	0.436570421569	0.574051133627	0.607068651071	2.28636880574	2.19096182667	2.45162339856	0.00158275381253	0.00153041972444	0.00181532596071	222.186376373	209.04061149	42.8287640189
20260000	0.44953894807	0.586175860168	0.61715189156	2.25228187247	2.20056183571	2.53717999863	0.00152585452602	0.001512353143	0.00186170565503	218.001132985	208.12866631	43.7493595487
20280000	0.437598643812	0.58682254782	0.690884691708	2.25566311243	2.21260960653	2.56614314063	0.00159093593133	0.00156624835926	0.00183129884593	221.664306715	207.899305255	40.527747012
20300000	0.429827253422	0.566143386009	0.601139692879	2.14913626711	2.13824402815	2.70512861795	0.00160873202052	0.00156974534729	0.0016768333801	227.998572031	213.72677486	43.2511782336
20320000	0.414999413492	0.556269724488	0.623991122927	2.13428269796	2.14232802985	2.3659663411	0.0015574557137	0.00156470941995	0.0017145505641	236.14491205	217.520376669	38.4620856262
20340000	0.402877843618	0.554528818538	0.615264739214	2.10251874638	2.10720951044	2.26329529068	0.00150297992189	0.00156187019066	0.00164906206719	238.285628065	216.399934482	45.5088650713
20360000	0.404867076348	0.565828076945	0.529034453473	2.11711742007	2.14640568031	2.11613781389	0.00146617204438	0.00148136231418	0.00147985983383	237.114859687	213.845874622	49.1461375139
20380000	0.41984848728	0.572916138393	0.572886575697	2.11637910935	2.13795534571	2.37968269905	0.00147451278281	0.00153690728187	0.00151798298396	233.417537443	214.691107053	45.3842018699
20400000	0.414001049317	0.610200884838	0.570875113147	2.10414966302	2.24396454424	2.43719759844	0.00161686508446	0.00164526048644	0.00164476970546	234.298923058	203.211766946	45.5441118403
20420000	0.41658113187	0.582690510761	0.550299654124	2.13873612032	2.23850271217	2.37729450582	0.00156167444817	0.00152588217169	0.00172690826015	232.847799814	205.94122915	45.429794136
20440000	0.431822019897	0.609418342058	0.514674421542	2.2169831537	2.23453392088	2.2368542167	0.00159217645529	0.00168063581421	0.00171621455734	224.629582399	201.831798473	50.5173735312
20460000	0.431125782524	0.577517414789	0.571866669028	2.20451946528	2.21862940181	2.33145641988	0.0016149897802	0.00162437253559	0.00163739656337	224.992343144	207.785941908	45.4651432024
20480000	0.457964872511	0.592968882249	0.4565974911	2.25590103866	2.25916243567	1.85175649168	0.00160785166939	0.00156494003458	0.00156916301237	235.82594754	204.057925504	39.4220300173
20500000	0.437491557472	0.605065242979	0.543852854783	2.20531458562	2.31024910956	2.23816367161	0.00149809560713	0.00152477201908	0.00170368609758	224.004322658	199.978434399	47.8070488577
20520000	0.440337293596	0.595309346208	0.566866615402	2.24212560719	2.24839976212	2.24566389948	0.00162481838706	0.00171471535316	0.0016528399713	222.556666049	203.255669965	45.8661690309
20540000	0.436692442847	0.620328760409	0.575259366137	2.22398006976	2.3779269149	2.36741354526	0.00168470127838	0.00170624303682	0.00169271907143	222.124292712	193.445810768	45.1970042219
20560000	0.452577212856	0.616855065917	0.559088692306	2.30140327389	2.36461108602	2.43602930219	0.00166121785235	0.00164433472445	0.00167906424091	207.699365611	194.53516171	50.0814993852
20580000	0.468740615518	0.629428970157	0.557599348599	2.38675068514	2.38658484518	2.2089512656	0.0016151676992	0.00165668491255	0.00156322121127	209.070852313	190.648994072	46.628461933
