We acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
EPI370705	PA	United States	2012-Jan-01	B/Wisconsin/03/2012	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention	
EPI366675	MP	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366677	NP	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366680	PB1	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366678	NS	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366681	PB2	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366676	NA	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366679	PA	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366674	HA	China	2009-Jan-01	B/Hubei-Wujiagang/158/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366654	NS	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
