We acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
EPI366652	NA	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366657	PB2	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366651	MP	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366656	PB1	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366653	NP	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366655	PA	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366650	HA	Bangladesh	2009-Jan-01	B/Bangladesh/5945/2009		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366585	PA	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366580	HA	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366581	MP	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366582	NA	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366586	PB1	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366583	NP	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366587	PB2	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366584	NS	China	2008-Jan-01	B/Fujian-Gulou/1272/2008		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366555	PB2	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366550	MP	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366551	NP	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366548	HA	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366553	PA	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366554	PB1	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366549	NA	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI366552	NS	Bangladesh	2007-Jan-01	B/Bangladesh/3333/2007		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Amedeo,P.; Bishop,B.; Chen,H.; Edworthy,P.; Gupta,N.; Katzel,D.; Li,K.; Schobel,S.; Shrivastava,S.; Thovarai,V.; Wang,S.; Ramanunninair,M.;
EPI359482	NS	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
EPI359483	PB1	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
EPI359480	HA	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
EPI359481	NA	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
EPI361190	MP	United States	2011-Mar-18	B/Boston/DB02/2011		Other Database Import	Wentworth,D.E.; Dugan,V.; Halpin,R.; Lin,X.; Bera,J.; Ghedin,E.; Hostetler,J.; Fedorova,N.; Overton,L.; Tsitrin,T.; Stockwell,T.; Katzel,D.; Li,K.; Amedeo,P.; Schobel,S.; Shrivastava,S.; Wang,S.; Thovarai,V.; Bishop,B.; Edworthy,P.; Kim,M.; Donnino,M.; Co
